name	type	county	state	county_code	population	num_new	num_old
Durango Jail and Estrella Jail and quot;Tent Cityquot; Jail	Local	Maricopa County	AZ	04013	4320	196	195
Maricopa County- Lower Buckeye Jail	Local	Maricopa County	AZ	04013	1842	197	196
Unlisted	Unlisted	Maricopa County	AZ	04013	2	198	197
Unlisted	Unlisted	Maricopa County	AZ	04013	3	199	198
Unlisted	Unlisted	Maricopa County	AZ	04013	3	200	199
Unlisted	Unlisted	Maricopa County	AZ	04013	5	201	200
Unlisted	Unlisted	Maricopa County	AZ	04013	7	202	201
Unlisted	Unlisted	Maricopa County	AZ	04013	5	203	202
Unlisted	Unlisted	Maricopa County	AZ	04013	3	204	203
Unlisted	Unlisted	Maricopa County	AZ	04013	2	205	204
"FCI Phoenix, AZ and Camp"	Federal	Maricopa County	AZ	04013	1126	206	205
ASPC- Lewis	State	Maricopa County	AZ	04013	5084	207	206
Unlisted	Unlisted	Mohave County	AZ	04015	32	208	207
Unlisted	Unlisted	Mohave County	AZ	04015	16	209	208
Unlisted	Unlisted	Mohave County	AZ	04015	120	210	209
Mohave County jail	Local	Mohave County	AZ	04015	257	211	210
Unlisted	Unlisted	Mohave County	AZ	04015	6	212	211
ASPC-Kingman	Private	Mohave County	AZ	04015	1481	213	212
Unlisted	Unlisted	Navajo County	AZ	04017	290	214	213
ASPC- Winslow	State	Navajo County	AZ	04017	1413	215	214
New Beginnings Treatment Center	Private	Pima County	AZ	04019	59	216	215
Pima County Minimum Security Facility	Local	Pima County	AZ	04019	580	217	216
Pima County Adult Detention Complex	Local	Pima County	AZ	04019	1308	218	217
Behavioral Systems Southwest- Tuscon CCC	Halfway House	Pima County	AZ	04019	40	219	218
Unlisted	Unlisted	Pima County	AZ	04019	2	220	219
Unlisted	Unlisted	Pima County	AZ	04019	5	221	220
ASPC Tucson	State	Pima County	AZ	04019	4116	222	221
Marana Community Correctional Treatment Facility	Private	Pima County	AZ	04019	499	223	222
Unlisted	Unlisted	Pima County	AZ	04019	3	224	223
Tucson- Camp	Federal	Pima County	AZ	04019	104	225	224
Tucson USP	Federal	Pima County	AZ	04019	924	226	225
Tucson FCI	Federal	Pima County	AZ	04019	573	227	226
Ajo District Jail	Local	Pima County	AZ	04019	6	228	227
Unlisted	Unlisted	Pima County	AZ	04019	133	229	228
ASPC- Eyman	State	Pinal County	AZ	04021	5426	230	229
Florence West	Private	Pinal County	AZ	04021	746	231	230
ASPC Florence- Central Unit	State	Pinal County	AZ	04021	3958	232	231
Central Arizona Correctional Facility	Private	Pinal County	AZ	04021	1254	233	232
Florence Correctional Center-CCA	Private	Pinal County	AZ	04021	1704	234	233
"Includes Pinal County Jail (local), Pinal County Adult Detention Center (federal), Florence Service Processing Center (Federal), Florence Correctional Center (Private-CCA)"	Other	Pinal County	AZ	04021	4503	235	234
Unlisted	Unlisted	Pinal County	AZ	04021	55	236	235
"Red Rock Correctional Center, Eloy Detention Center, La Palma COrrectional Center"	Private	Pinal County	AZ	04021	5407	237	236
Saguaro Correctional Center	Private	Pinal County	AZ	04021	1886	238	237
ASPC Florence-Picacho Unit	State	Pinal County	AZ	04021	183	239	238
Unlisted	Unlisted	Pinal County	AZ	04021	92	240	239
Unlisted	Unlisted	Pinal County	AZ	04021	8	241	240
Unlisted	Unlisted	Santa Cruz County	AZ	04023	49	242	241
Yavapai County Jail	Local	Yavapai County	AZ	04025	535	243	242
Unlisted	Unlisted	Yavapai County	AZ	04025	10	244	243
Unlisted	Unlisted	Yavapai County	AZ	04025	6	245	244
Yuma County Detention Center	Local	Yuma County	AZ	04027	577	246	245
ASPC Yuma	State	Yuma County	AZ	04027	2404	247	246
San Luiz Detention Facility	Federal	Yuma County	AZ	04027	502	248	247
Arkansas County Detention Center	Local	Arkansas County	AR	05001	80	249	248
Ashley County Jail	Local	Ashley County	AR	05003	80	250	249
Baxter County Jail	Local	Baxter County	AR	05005	51	251	250
Benton County Detention Facility	Local	Benton County	AR	05007	46	252	251
Boone County Law Enforcement Center	Local	Boone County	AR	05009	72	253	252
Unlisted	Unlisted	Bradley County	AR	05011	53	254	253
Calhoun County Jail	Local	Calhoun County	AR	05013	27	255	254
Carroll County Jail	Local	Carroll County	AR	05015	95	256	255
Delta Regional Facility	State	Chicot County	AR	05017	573	257	256
Dermott Police Station	Local	Chicot County	AR	05017	5	258	257
Clark County Jail	Local	Clark County	AR	05019	43	259	258
Clay County Jail	Local	Clay County	AR	05021	71	260	259
Cleburne County Jail	Local	Cleburne County	AR	05023	80	261	260
Columbia County Jail	Local	Columbia County	AR	05027	54	262	261
Unlisted	Unlisted	Conway County	AR	05029	1	263	262
Jonesboro Human Development Center	Unlisted	Craighead County	AR	05031	108	264	263
Craighead County Detention Center	Local	Craighead County	AR	05031	330	265	264
Crawford County Jail	Local	Crawford County	AR	05033	117	266	265
Crittenden County Jail	Local	Crittenden County	AR	05035	299	267	266
Cross County Criminal Justice Center	Local	Cross County	AR	05037	54	268	267
Dallas County Jail	Local	Dallas County	AR	05039	139	269	268
Drew County Detention Facility	Local	Drew County	AR	05043	36	270	269
Conway Human Development Center	Unlisted	Faulkner County	AR	05045	505	271	270
Faulkner County Detention Center	Local	Faulkner County	AR	05045	107	272	271
Unlisted	Unlisted	Faulkner County	AR	05045	123	273	272
Fulton County Jail	Local	Fulton County	AR	05049	7	274	273
Garland County Criminal Detention Facility	Local	Garland County	AR	05051	220	275	274
Unlisted	Unlisted	Garland County	AR	05051	29	276	275
Sheridan Detention Center	Local	Grant County	AR	05053	63	277	276
Greene County Jail	Local	Greene County	AR	05055	132	278	277
Hempstead County Jail	Local	Hempstead County	AR	05057	51	279	278
"Omega Technical Violator, Ouachita River Unit"	State	Hot Spring County	AR	05059	1092	280	279
Independence County Jail	Local	Independence County	AR	05063	91	281	280
Izard County Jail	Local	Izard County	AR	05065	28	282	281
North Central Unit	State	Izard County	AR	05065	574	283	282
Jackson County Detention Center	Local	Jackson County	AR	05067	52	284	283
Grimes-Mcpherson Correctional Facility	State	Jackson County	AR	05067	1777	285	284
Maximum Security Unit	State	Jefferson County	AR	05069	529	286	285
Tucker Unit	State	Jefferson County	AR	05069	787	287	286
Jefferson County Jail and Adult Detention Center	Local	Jefferson County	AR	05069	257	288	287
Randall J. Williams Correctional Facility	State	Jefferson County	AR	05069	578	289	288
"Pine Bluff Unit, Diagnostic Unit"	State	Jefferson County	AR	05069	861	290	289
Southeast Arkansas Community Correctional Center	State	Jefferson County	AR	05069	328	291	290
Tucker Unit	State	Jefferson County	AR	05069	109	292	291
Johnson County Jail	Local	Johnson County	AR	05071	57	293	292
Lafayette County Jail	Local	Lafayette County	AR	05073	29	294	293
Lawrence County Jail	Local	Lawrence County	AR	05075	32	295	294
East Arkansas Regional Unit	State	Lee County	AR	05077	1679	296	295
Marianna City Jail	Local	Lee County	AR	05077	7	297	296
Lincoln County Jail	Local	Lincoln County	AR	05079	18	298	297
"Varner Unit, Varner Supermax Unit, Cummins Unit"	State	Lincoln County	AR	05079	3288	299	298
Logan County Detention Center	Local	Logan County	AR	05083	23	300	299
Unlisted	Unlisted	Logan County	AR	05083	4	301	300
Cabot City Jail	Local	Lonoke County	AR	05085	3	302	301
Lonoke County Detention Center	Local	Lonoke County	AR	05085	61	303	302
Marion County Law Enforcement Center	Local	Marion County	AR	05089	16	304	303
"Texarkana Regional Correctional Center, Southwest Arkansas Community Correctional Center"	State	Miller County	AR	05091	599	305	304
Unlisted	Unlisted	Miller County	AR	05091	52	306	305
Miller County Jail	Local	Miller County	AR	05091	238	307	306
Mississippi County Work Release Center	State	Mississippi County	AR	05093	83	308	307
Mississippi County Work Release Center	State	Mississippi County	AR	05093	152	309	308
Northeast Arkansas Community Correctional Center	State	Mississippi County	AR	05093	240	310	309
Brinkley City Jail	Local	Monroe County	AR	05095	3	311	310
Monroe County Detention Center	Local	Monroe County	AR	05095	19	312	311
Montgomery County Jail	Local	Montgomery County	AR	05097	8	313	312
Nevada County Jail	Local	Nevada County	AR	05099	13	314	313
Ouachita County Jail	Local	Ouachita County	AR	05103	50	315	314
Phillips County Jail	Local	Phillips County	AR	05107	65	316	315
Pike County Jail	Local	Pike County	AR	05109	56	317	316
Poinsett County Detention Center	Local	Poinsett County	AR	05111	87	318	317
Polk County Jail	Local	Polk County	AR	05113	21	319	318
Pope County Detention Center	Local	Pope County	AR	05115	171	320	319
Prairie County Jail	Local	Prairie County	AR	05117	16	321	320
Pulaski County Regional Jail	Local	Pulaski County	AR	05119	1026	322	321
City of Faith Community Correction Center	Private	Pulaski County	AR	05119	82	323	322
Sober Living	Private	Pulaski County	AR	05119	36	324	323
Unlisted	Unlisted	Pulaski County	AR	05119	2	325	324
"Wrightsville Unit, Hawkins Center for Women"	State	Pulaski County	AR	05119	1108	326	325
Randolph County Law Enforcement Center	Local	Randolph County	AR	05121	32	327	326
FCI Forrest City and Camp	Federal	St. Francis County	AR	05123	3814	328	327
St. Francis County Jail	Local	St. Francis County	AR	05123	91	329	328
Benton Unit	State	Saline County	AR	05125	248	330	329
Saline County Detention Facility	Local	Saline County	AR	05125	173	331	330
Searcy County Jail	Local	Searcy County	AR	05129	11	332	331
Sebastian County Adult Detention Center	Local	Sebastian County	AR	05131	417	333	332
Unlisted	Unlisted	Sevier County	AR	05133	4	334	333
Sevier County Jail	Local	Sevier County	AR	05133	25	335	334
Sharp County Detention Center	Local	Sharp County	AR	05135	25	336	335
Stone County Detention Facility	Local	Stone County	AR	05137	24	337	336
Union County Criminal Justice Facility	Local	Union County	AR	05139	186	338	337
Van Buren County Detention Center	Local	Van Buren County	AR	05141	50	339	338
Washington County Detention Center	Local	Washington County	AR	05143	512	340	339
Northwest Arkansas Work Release Center	State	Washington County	AR	05143	54	341	340
Unlisted	Unlisted	Washington County	AR	05143	99	342	341
Woodruff County Jail	Local	Woodruff County	AR	05147	8	343	342
Yell County	Local	Yell County	AR	05149	13	344	343
Unlisted	Unlisted	Alameda County	CA	06001	3	345	344
Glenn Dyer Detention Facility	Local	Alameda County	CA	06001	801	346	345
Oakland Center- Cornell Corrections	Private	Alameda County	CA	06001	72	347	346
Unlisted	Unlisted	Alameda County	CA	06001	47	348	347
Unlisted	Unlisted	Alameda County	CA	06001	15	349	348
Unlisted	Unlisted	Alameda County	CA	06001	106	350	349
Dublin FCI and Camp	Federal	Alameda County	CA	06001	1345	351	350
Santa Rita Jail	Local	Alameda County	CA	06001	4324	352	351
Mule Creek State Prison	State	Amador County	CA	06005	3814	353	352
Amador County Jail	Local	Amador County	CA	06005	93	354	353
Unlisted	Unlisted	Amador County	CA	06005	62	355	354
Butte County Jail	Local	Butte County	CA	06007	557	356	355
Vallecito Conservation Camp- SCC	State	Calaveras County	CA	06009	98	357	356
Calaveras County Jail	Local	Calaveras County	CA	06009	74	358	357
Colusa County Jail	Local	Colusa County	CA	06011	45	359	358
Unlisted	Unlisted	Contra Costa County	CA	06013	2	360	359
Contra Costa West County Detention Facility	Federal	Contra Costa County	CA	06013	84	361	360
Contra Costa County	Local	Contra Costa County	CA	06013	589	362	361
Marsh Creek Detention Facility	Local	Contra Costa County	CA	06013	66	363	362
West County Detention Facility	Local	Contra Costa County	CA	06013	713	364	363
Del Norte County Jail	Local	Del Norte County	CA	06015	99	365	364
Pelican Bay State Prison	State	Del Norte County	CA	06015	3367	366	365
Alder Conservation Camp	State	Del Norte County	CA	06015	101	367	366
South Lake Tahoe Jail	Local	El Dorado County	CA	06017	107	368	367
Growlersburg Conservation Camp	State	El Dorado County	CA	06017	114	369	368
El Dorado County	Local	El Dorado County	CA	06017	222	370	369
Fresno County Jail	Local	Fresno County	CA	06019	2344	371	370
Unlisted	Unlisted	Fresno County	CA	06019	31	372	371
Unlisted	Unlisted	Fresno County	CA	06019	47	373	372
Unlisted	Unlisted	Fresno County	CA	06019	6	374	373
Unlisted	Unlisted	Fresno County	CA	06019	76	375	374
Pleasant Valley State Prison	State	Fresno County	CA	06019	945	376	375
Pleasant Valley State Prison	State	Fresno County	CA	06019	4707	377	376
Claremont Custody Center	State	Fresno County	CA	06019	478	378	377
Glenn County Jail	Local	Glenn County	CA	06021	83	379	378
Humboldt County Jail	Local	Humboldt County	CA	06023	391	380	379
Eel River Conservation Camp	State	Humboldt County	CA	06023	96	381	380
Eel River Conservation Camp	State	Humboldt County	CA	06023	104	382	381
Calipatria State Prison	State	Imperial County	CA	06025	4164	383	382
Imperial County Jail	Local	Imperial County	CA	06025	637	384	383
El Centro Detention Center	Federal	Imperial County	CA	06025	418	385	384
Centinela State Prison	State	Imperial County	CA	06025	4311	386	385
Centinela State Prison	State	Imperial County	CA	06025	193	387	386
Unlisted	Unlisted	Inyo County	CA	06027	111	388	387
Unlisted	Unlisted	Inyo County	CA	06027	58	389	388
Unlisted	Unlisted	Kern County	CA	06029	74	390	389
Unlisted	Unlisted	Kern County	CA	06029	30	391	390
Unlisted	Unlisted	Kern County	CA	06029	6	392	391
Taft Community Correctional Facility	State	Kern County	CA	06029	481	393	392
FCI and Camp Taft	Federal	Kern County	CA	06029	2351	394	393
Lerdo Pre-Trial Facility/Kern County	Local	Kern County	CA	06029	1471	395	394
Unlisted	Unlisted	Kern County	CA	06029	42	396	395
Shafter Community Correctional Facility	State	Kern County	CA	06029	517	397	396
Wasco State Prison	State	Kern County	CA	06029	5710	398	397
North Kern State Prison	State	Kern County	CA	06029	5363	399	398
Delano Comm Corr Fac	State	Kern County	CA	06029	490	400	399
Wasco State Prison	State	Kern County	CA	06029	4677	401	400
"Golden State Comm Corr Fac-wackenhut, McFarland Com Corr, Central Valley Correctional"	Private	Kern County	CA	06029	1194	402	401
California Correctional Institution	State	Kern County	CA	06029	5903	403	402
CI California City	Federal	Kern County	CA	06029	2614	404	403
Unlisted	Unlisted	Kings County	CA	06031	20	405	404
Kings County Jail	Local	Kings County	CA	06031	314	406	405
Corcoran State Prison	State	Kings County	CA	06031	5298	407	406
Substance Abuse Treatment Facility and State Prison at Corcoran	State	Kings County	CA	06031	6820	408	407
Avenal State Prison	State	Kings County	CA	06031	6423	409	408
Lake County Hill Road Correctional Facility	Local	Lake County	CA	06033	213	410	409
Konocti Conservation Camp	State	Lake County	CA	06033	103	411	410
Hilltop Recovery Services	Private	Lake County	CA	06033	33	412	411
Unlisted	Unlisted	Lassen County	CA	06035	81	413	412
Lassen County Jail	Local	Lassen County	CA	06035	190	414	413
California Correctional Center	State	Lassen County	CA	06035	4050	415	414
Unlisted	Unlisted	Lassen County	CA	06035	279	416	415
Unlisted	Unlisted	Lassen County	CA	06035	891	417	416
Unlisted	Unlisted	Lassen County	CA	06035	504	418	417
Unlisted	Unlisted	Lassen County	CA	06035	2386	419	418
Unlisted	Unlisted	Lassen County	CA	06035	1113	420	419
Unlisted	Unlisted	Los Angeles County	CA	06037	41	421	420
Unlisted	Unlisted	Los Angeles County	CA	06037	104	422	421
Unlisted	Unlisted	Los Angeles County	CA	06037	9	423	422
Unlisted	Unlisted	Los Angeles County	CA	06037	3	424	423
