Fact,Fact Note,Michigan,Louisiana,Massachusetts,Maryland,Maine,United States,Value Note for United States
"In civilian labor force, total, percent of population age 16 years+, 2014-2018",,61.30%,59.30%,67.10%,67.20%,62.90%,62.90%,
"In civilian labor force, female, percent of population age 16 years+, 2014-2018",,57.00%,55.50%,63.40%,63.40%,59.50%,58.20%,
"Total accommodation and food services sales, 2012 ($1,000)",(c),"17,962,356","11,697,949","17,508,975","12,516,782","2,901,347","708,138,598",
"Total health care and social assistance receipts/revenue, 2012 ($1,000)",(c),"63,018,786","27,951,792","63,583,090","40,821,901","10,297,043","2,040,441,203",
"Total manufacturers shipments, 2012 ($1,000)",(c),"238,892,383","271,191,050","81,927,799","39,532,989","16,044,543","5,696,729,632",
"Total merchant wholesaler sales, 2012 ($1,000)",(c),"115,704,903","68,012,838","123,904,370","60,734,191","12,961,262","5,208,023,478",
"Total retail sales, 2012 ($1,000)",(c),"119,302,046","61,396,364","92,915,380","76,379,707","21,521,714","4,219,821,871",
"Total retail sales per capita, 2012",(c),"$12,071 ","$13,342 ","$13,980 ","$12,980 ","$16,192 ","$13,443 ",
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018",,24.5,25.5,29.7,32.9,24,26.6,
"Median household income (in 2018 dollars), 2014-2018",,"$54,938 ","$47,942 ","$77,378 ","$81,868 ","$55,425 ","$60,293 ",
"Per capita income in past 12 months (in 2018 dollars), 2014-2018",,"$30,336 ","$27,027 ","$41,794 ","$40,517 ","$31,253 ","$32,621 ",
"Persons in poverty, percent",,13.00%,19.00%,9.40%,9.00%,10.90%,10.50%,
"Total employer establishments, 2018",,"222,656","106,359","180,307","139,497","41,727","7,912,405",
"Total employment, 2018",,"3,947,891","1,691,552","3,323,852","2,366,053","516,240","130,881,471",
"Total annual payroll, 2018 ($1,000)",,"198,363,538","78,758,017","227,920,705","131,901,298","23,114,375","7,097,310,272",
"Total employment, percent change, 2017-2018",,2.30%,0.20%,0.20%,1.30%,0.50%,1.80%,
"Total nonemployer establishments, 2018",,"730,700","385,074","573,754","510,744","117,341","26,485,532",
"All firms, 2012",,"834,087","414,291","607,664","531,953","139,570","27,626,360",
"Men-owned firms, 2012",,"446,128","215,111","357,158","276,630","79,243","14,844,597",
"Women-owned firms, 2012",,"306,986","151,114","199,210","209,119","42,067","9,878,397",
"Minority-owned firms, 2012",,"158,946","126,100","89,967","203,394","4,339","7,952,386",
"Nonminority-owned firms, 2012",,"657,237","277,676","499,959","314,902","131,322","18,987,918",
"Veteran-owned firms, 2012",,"71,861","42,211","58,339","50,976","15,689","2,521,682",
"Nonveteran-owned firms, 2012",,"733,517","354,460","525,667","462,232","115,839","24,070,685",
"Population per square mile, 2010",,174.8,104.9,839.4,594.8,43.1,87.4,
"Land area in square miles, 2010",,"56,538.90","43,203.90","7,800.06","9,707.24","30,842.92","3,531,905.43",
FIPS Code,,"""26""","""22""","""25""","""24""","""23""","""1""",
,,,,,,,,
NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.,,,,,,,,
,,,,,,,,
Value Notes,,,,,,,,
1,Includes data not distributed by county.,,,,,,,
,,,,,,,,
Fact Notes,,,,,,,,
(a),Includes persons reporting only one race,,,,,,,
(b),"Hispanics may be of any race, so also are included in applicable race categories",,,,,,,
(c),Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data,,,,,,,
,,,,,,,,
Value Flags,,,,,,,,
-,"Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.",,,,,,,
D,Suppressed to avoid disclosure of confidential information,,,,,,,
F,Fewer than 25 firms,,,,,,,
FN,Footnote on this item in place of data,,,,,,,
N,Data for this geographic area cannot be displayed because the number of sample cases is too small.,,,,,,,
NA,Not available,,,,,,,
S,Suppressed; does not meet publication standards,,,,,,,
X,Not applicable,,,,,,,
Z,Value greater than zero but less than half unit of measure shown,,,,,,,
