Fact,Fact Note,California,Arkansas,Arizona,Alaska,Alabama,United States,Value Note for United States
"Per capita income in past 12 months (in 2018 dollars), 2014-2018",,"$35,021 ","$25,635 ","$29,265 ","$35,874 ","$26,846 ","$32,621 ",
"Persons in poverty, percent",,11.80%,16.20%,13.50%,10.10%,15.50%,10.50%,
"Total employer establishments, 2018",,"954,632","66,975","144,867","21,293","100,267","7,912,405",
"Total employment, 2018",,"15,223,664","1,043,210","2,549,128","261,053","1,730,817","130,881,471",
"Total annual payroll, 2018 ($1,000)",,"1,020,958,926","44,439,456","123,144,606","15,732,010","76,223,039","7,097,310,272",
"Total employment, percent change, 2017-2018",,2.20%,1.20%,4.10%,-0.40%,2.40%,1.80%,
"Total nonemployer establishments, 2018",,"3,453,769","209,179","502,593","57,391","336,445","26,485,532",
"All firms, 2012",,"3,548,449","231,959","499,926","68,032","374,153","27,626,360",
"Men-owned firms, 2012",,"1,852,580","123,158","245,243","35,402","203,604","14,844,597",
"Women-owned firms, 2012",,"1,320,085","75,962","182,425","22,141","137,630","9,878,397",
"Minority-owned firms, 2012",,"1,619,857","35,982","135,313","13,688","92,219","7,952,386",
"Nonminority-owned firms, 2012",,"1,819,107","189,029","344,981","51,147","272,651","18,987,918",
"Veteran-owned firms, 2012",,"252,377","25,915","46,780","7,953","41,943","2,521,682",
"Nonveteran-owned firms, 2012",,"3,176,341","192,988","427,582","56,091","316,984","24,070,685",
"Population per square mile, 2010",,239.1,56,56.3,1.2,94.4,87.4,
"Land area in square miles, 2010",,"155,779.22","52,035.48","113,594.08","570,640.95","50,645.33","3,531,905.43",
FIPS Code,,"""06""","""05""","""04""","""02""","""01""","""1""",
,,,,,,,,
NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.,,,,,,,,
,,,,,,,,
Value Notes,,,,,,,,
None,,,,,,,,
,,,,,,,,
Fact Notes,,,,,,,,
(a),Includes persons reporting only one race,,,,,,,
(b),"Hispanics may be of any race, so also are included in applicable race categories",,,,,,,
(c),Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data,,,,,,,
,,,,,,,,
Value Flags,,,,,,,,
-,"Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.",,,,,,,
D,Suppressed to avoid disclosure of confidential information,,,,,,,
F,Fewer than 25 firms,,,,,,,
FN,Footnote on this item in place of data,,,,,,,
N,Data for this geographic area cannot be displayed because the number of sample cases is too small.,,,,,,,
NA,Not available,,,,,,,
S,Suppressed; does not meet publication standards,,,,,,,
X,Not applicable,,,,,,,
Z,Value greater than zero but less than half unit of measure shown,,,,,,,
