Fact,Fact Note,Virginia,Vermont,Utah,Texas,Value Note for Texas
"In civilian labor force, total, percent of population age 16 years+, 2014-2018",,64.20%,65.70%,67.90%,64.20%,
"In civilian labor force, female, percent of population age 16 years+, 2014-2018",,60.40%,63.00%,60.00%,57.70%,
"Total accommodation and food services sales, 2012 ($1,000)",(c),"17,795,901","1,564,272","4,789,281","54,480,811",
"Total health care and social assistance receipts/revenue, 2012 ($1,000)",(c),"47,705,003","4,457,996","14,521,857","145,035,130",
"Total manufacturers shipments, 2012 ($1,000)",(c),"96,389,872","9,315,494","50,046,429","702,603,073",
"Total merchant wholesaler sales, 2012 ($1,000)",(c),"86,613,641","6,450,076","30,927,885","691,242,607",
"Total retail sales, 2012 ($1,000)",(c),"110,002,385","9,933,751","38,024,486","356,116,376",
"Total retail sales per capita, 2012",(c),"$13,438 ","$15,868 ","$13,317 ","$13,666 ",
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018",,28.4,22.9,21.7,26.4,
"Median household income (in 2018 dollars), 2014-2018",,"$71,564 ","$60,076 ","$68,374 ","$59,570 ",
"Per capita income in past 12 months (in 2018 dollars), 2014-2018",,"$37,763 ","$33,238 ","$28,239 ","$30,143 ",
"Persons in poverty, percent",,9.90%,10.20%,8.90%,13.60%,
"Total employer establishments, 2018",,"202,379","21,019","82,260","600,747",
"Total employment, 2018",,"3,386,839","261,282","1,337,574","10,794,596",
"Total annual payroll, 2018 ($1,000)",,"188,552,171","11,436,767","62,411,104","577,914,267",
"Total employment, percent change, 2017-2018",,2.30%,0.90%,4.30%,2.00%,
"Total nonemployer establishments, 2018",,"632,995","62,027","246,766","2,514,301",
"All firms, 2012",,"653,193","75,827","251,419","2,356,748",
"Men-owned firms, 2012",,"353,012","41,270","132,163","1,251,696",
"Women-owned firms, 2012",,"236,290","23,417","76,269","866,678",
"Minority-owned firms, 2012",,"185,043","2,354","24,423","1,070,392",
"Nonminority-owned firms, 2012",,"450,109","70,491","218,826","1,224,845",
"Veteran-owned firms, 2012",,"76,434","8,237","18,754","213,590",
"Nonveteran-owned firms, 2012",,"548,439","63,317","219,807","2,057,218",
"Population per square mile, 2010",,202.6,67.9,33.6,96.3,
"Land area in square miles, 2010",,"39,490.09","9,216.66","82,169.62","261,231.71",
FIPS Code,,"""51""","""50""","""49""","""48""",
,,,,,,
NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.,,,,,,
,,,,,,
Value Notes,,,,,,
None,,,,,,
,,,,,,
Fact Notes,,,,,,
(a),Includes persons reporting only one race,,,,,
(b),"Hispanics may be of any race, so also are included in applicable race categories",,,,,
(c),Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data,,,,,
,,,,,,
Value Flags,,,,,,
-,"Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.",,,,,
D,Suppressed to avoid disclosure of confidential information,,,,,
F,Fewer than 25 firms,,,,,
FN,Footnote on this item in place of data,,,,,
N,Data for this geographic area cannot be displayed because the number of sample cases is too small.,,,,,
NA,Not available,,,,,
S,Suppressed; does not meet publication standards,,,,,
X,Not applicable,,,,,
Z,Value greater than zero but less than half unit of measure shown,,,,,
