Name,Near Location,State,FIPS,Type of Facility,Listed Capacity,Max Capacity
Lauderdale County Jail,Lauderdale County,Alabama,01077,Local,2685,430
Lawrence County Jail,Lawrence County,Alabama,01079,Local,1336,490
Lee County Detention Center,Lee County,Alabama,01081,Local,2139,1660
Limestone Correctional Facility - Limestone County,Limestone County,Alabama,01083,State,2050,1337
Limestone County Jail,Limestone County,Alabama,01083,Local,2134,753
Lowdnes County Jail,Lowndes County,Alabama,01085,Local,1547,755
Macon County Law Enforcement Center,Macon County,Alabama,01087,Local,1253,409
Limestone Correctional Facility - Madison County,Madison County,Alabama,01089,State,198,182
Madison County Courthouse Detention Facility,Madison County,Alabama,01089,Local,1838,482
Madison County Main Detention Facility,Madison County,Alabama,01089,Local,1822,1453
Marengo County Detention Center,Marengo County,Alabama,01091,Local,2169,916
Hamilton Aged & Infirmed,Marion County,Alabama,01093,State,1263,247
Hamilton Aged and Infirmed Center,Marion County,Alabama,01093,State,816,999
Hamilton Work Release Center,Marion County,Alabama,01093,State,1965,692
Albertville City Jail,Marshall County,Alabama,01095,Local,2083,84
Arab City Jail,Marshall County,Alabama,01095,Local,1148,661
Boaz City Jail,Marshall County,Alabama,01095,Local,1311,702
Marshall County Jail,Marshall County,Alabama,01095,Local,730,369
Unlisted - Marshall County,Marshall County,Alabama,01095,Unlisted,2610,259
Chickasaw City Jail,Mobile County,Alabama,01097,Local,1655,118
Mobile County Jail,Mobile County,Alabama,01097,Local,1271,704
Saraland City Jail,Mobile County,Alabama,01097,Local,2202,950
Monroe County Jail,Monroe County,Alabama,01099,Local,492,1459
Federal Prison Camp ,Montgomery County,Alabama,01101,Federal,2465,254
Kilby Correctional Facility,Montgomery County,Alabama,01101,State,511,1585
Kilby Correctional Facility and Montgomery Work Release Center,Montgomery County,Alabama,01101,State,402,641
Montgomery County Detention Facility,Montgomery County,Alabama,01101,Local,868,546
Montgomery Federal Prison Camp,Montgomery County,Alabama,01101,Federal,472,1189
Montgomery Municipal Jail,Montgomery County,Alabama,01101,Local,313,557
Red Eagle Honor Farm,Montgomery County,Alabama,01101,State,2505,319
Decatur City jail,Morgan County,Alabama,01103,Local,1725,219
Decatur Work Release,Morgan County,Alabama,01103,State,1800,1178
Morgan County Jail and Annex,Morgan County,Alabama,01103,Local,1674,429
Perry County Jail,Perry County,Alabama,01105,Local,452,1255
Federal Correctional Institution ,Carrollton,Alabama,01107,Federal,2493,1434
Pickens County Det Ctr,Carrollton,Alabama,01107,State,1622,539
Pickens County Jail,Pickens County,Alabama,01107,Local,1615,206
Troy City Jail,Pike County,Alabama,01109,Local,620,1111
Randolph County Jail,Randolph County,Alabama,01111,Local,1077,473
Russell County Jail,Russell County,Alabama,01113,Local,311,798
St. Clair Correctional Facility,St. Clair County,Alabama,01115,State,2287,610
St. Clair County,St. Clair County,Alabama,01115,Local,2468,951
St. Clair County Jail,St. Clair County,Alabama,01115,Local,2490,537
Alabaster City Jail,Shelby County,Alabama,01117,Local,1763,1438
Shelby County Jail,Shelby County,Alabama,01117,Other,1887,673
Unlisted - Shelby County,Shelby County,Alabama,01117,Unlisted,1042,1161
Childersburg Work Release Center,Talladega County,Alabama,01121,State,2493,670
Federal Correctional Institution - Talladega County,Talladega County,Alabama,01121,Federal,589,93
Talladega Camp,Talladega County,Alabama,01121,Federal,1897,1068
Talladega County Jail,Talladega County,Alabama,01121,Local,80,1545
Talladega FCI,Talladega County,Alabama,01121,Federal,775,1631
Tallapoosa County Jail,Tallapoosa County,Alabama,01123,Local,763,1578
Tuscaloosa County Jail,Tuscaloosa County,Alabama,01125,Local,1319,342
Jasper Police Department,Walker County,Alabama,01127,Local,1612,1054
Sumiton City Jail,Walker County,Alabama,01127,Local,865,987
Unlisted - Walker County,Walker County,Alabama,01127,Local,1561,526
Walker County Jail,Walker County,Alabama,01127,Local,911,1357
Washington County Jail,Washington County,Alabama,01129,Local,2291,1177
Unlisted - Wilcox County,Wilcox County,Alabama,01131,Unlisted,911,955
Winston County Jail,Winston County,Alabama,01133,Local,1547,973
Unalaska City Jail,Aleutians West Census Area,Alaska,02016,Local,2019,129
Unlisted - Aleutians West Census Area,Aleutians West Census Area,Alaska,02016,Unlisted,308,307
Anchorage C. Complex/East,Anchorage Municipality,Alaska,02020,State,1143,290
Anchorage Correctional Complex,Anchorage Municipality,Alaska,02020,State,441,175
Anchorage Correctional Complex East,Anchorage Municipality,Alaska,02020,State,1362,382
Anchorage Correctional Complex West,Anchorage Municipality,Alaska,02020,State,2006,337
Cordova Center,Anchorage Municipality,Alaska,02020,Halfway House,1171,282
Glenwood Center,Anchorage Municipality,Alaska,02020,Halfway House,1964,286
Hiland Mountain Correctional Center,Anchorage Municipality,Alaska,02020,State,1070,189
Midtown Center,Anchorage Municipality,Alaska,02020,Halfway House,367,167
Parkview Center- Cornell,Anchorage Municipality,Alaska,02020,Private,727,155
Unlisted - Anchorage Municipality,Anchorage Municipality,Alaska,02020,Unlisted,34,318
Tundra Center- Cornell,Bethel Census Area,Alaska,02050,Private,2225,444
Yukon Kuskokwin Correctional Center,Bethel Census Area,Alaska,02050,State,2467,182
Yukon-Kuskokwim Correctional Center,Bethel Census Area,Alaska,02050,State,965,196
Palmer Medium and Minimum Correctional Centers,,Alaska,02070,State,2329,367
Fairbanks Correctional Center,Fairbanks North Star Borough,Alaska,02090,State,219,331
Northstar Center,Fairbanks North Star Borough,Alaska,02090,Halfway House,2137,262
Unlisted,Fairbanks North Star Borough,Alaska,02090,Unlisted,1916,312
Glacier Manor,Juneau City and Borough,Alaska,02110,Halfway House,1887,122
Lemon Creek Correctional Center,Juneau City and Borough,Alaska,02110,State,789,375
Spring Creek Correctional Center,Kenai Peninsula Borough,Alaska,02122,State,82,394
Wildwood Correctional Center,Kenai Peninsula Borough,Alaska,02122,State,416,311
Wildwood Correctional Complex and Wildwood Pre-Trial Facility,Kenai Peninsula Borough,Alaska,02122,State,1079,197
Wildwood Pretrial Facility,Kenai Peninsula Borough,Alaska,02122,State,1478,459
Ketchikan Correctional Center,Ketchikan Gateway Borough,Alaska,02130,State,535,182
"Ketchikan Correctional Center, Ketchikan",Ketchikan Gateway Borough,Alaska,02130,State,2357,172
Goose Creek Correctional Cente,Matanuska-Susitna Borough,Alaska,02170,State,2436,350
Mat-Su Pretrial Facility,Matanuska-Susitna Borough,Alaska,02170,State,831,74
Palmer Correctional Center,Matanuska-Susitna Borough,Alaska,02170,State,1158,211
Point Mackenzie Rehabilitation Farm,Matanuska-Susitna Borough,Alaska,02170,State,623,390
Anvil Mountain Correctional Center,Nome Census Area,Alaska,02180,State,616,267
Seaside Center- Cornell Corrections,Nome Census Area,Alaska,02180,Private,218,160
Kotzebue Regional Jail Facility,Northwest Arctic Borough,Alaska,02188,Local,279,449
Sitka City Jail,Sitka City and Borough,Alaska,02220,Local,2443,393
Apache County Jail,Apache County,Arizona,04001,Local,1155,1892
ASPC - Winslow Apache Unit,Apache County,Arizona,04001,State,969,2320
Arizona State Prison Complex – Douglas,Cochise County,Arizona,04003,State,647,68
ASPC- Douglas,Cochise County,Arizona,04003,State,1890,1057
Cochise County Jail,Cochise County,Arizona,04003,Local,455,796
Unlisted - Cochise County,Cochise County,Arizona,04003,Unlisted,1295,1024
Coconino County Jail,Coconino County,Arizona,04005,local,1791,527
Unlisted - Coconino County,Coconino County,Arizona,04005,Unlisted,2476,1916
Gila County jail,Gila County,Arizona,04007,Local,1738,2185
Unlisted - Gila County,Gila County,Arizona,04007,Unlisted,992,1736
Arizona State Prison Complex – Safford,Graham County,Arizona,04009,State,1154,1772
Arizona State Prison Complex- Safford,Graham County,Arizona,04009,State,2575,2532
"ASPC- Safford, Fort Grant Unit",Graham County,Arizona,04009,State,506,550
FCI Safford,Graham County,Arizona,04009,Federal,567,759
Federal Correctional Institution - Graham County,Graham County,Arizona,04009,Federal,390,2574
Graham County Jail,Graham County,Arizona,04009,Local,1761,2326
Greenlee County Correctional Facility,Greenlee County,Arizona,04011,Local,795,1609
La Paz County Adult Detention Facility,Parker,Arizona,04012,State,1583,136
La Paz County Jail,La Paz County,Arizona,04012,Local,75,1130
Unlisted - La Paz County,La Paz County,Arizona,04012,Unlisted,71,1553
Arizona State Prison Complex – Lewis,Maricopa County,Arizona,04013,State,1199,1635
Arizona State Prison Complex – Perryville,Maricopa County,Arizona,04013,State,2382,2223
Arizona State Prison Complex – Phoenix,Maricopa County,Arizona,04013,State,1924,1069
Arizona State Prison Phoenix-West,Maricopa County,Arizona,04013,Private,2657,2274
Arizona State Prison-Phoenix West,Maricopa County,Arizona,04013,Private,1412,1005
ASPC- Lewis,Maricopa County,Arizona,04013,State,347,1407
ASPC- Perryville,Maricopa County,Arizona,04013,State,1965,873
ASPC Phoenix,Maricopa County,Arizona,04013,State,2283,2627
"Behavorial Systems Southwest, Behavorial Systems Southwest Pregnant Offenders",Maricopa County,Arizona,04013,Halfway House,1817,829
Durango Jail and Estrella Jail and quot;Tent Cityquot; Jail,Maricopa County,Arizona,04013,Local,524,2667
"FCI Phoenix, AZ and Camp",Maricopa County,Arizona,04013,Federal,1876,290
Federal Correctional Institution - Maricopa County,Maricopa County,Arizona,04013,Federal,2445,584
Holiday Inn & Ste Pho Ap,Maricopa County,Arizona,04013,State,369,1437
Holiday Inn Exp Phoenix,Maricopa County,Arizona,04013,State,2529,1449
Maricopa County- 4th Avenue Jail,Maricopa County,Arizona,04013,Local,545,526
Maricopa County- Lower Buckeye Jail,Maricopa County,Arizona,04013,Local,2224,2534
Unlisted - Maricopa County,Maricopa County,Arizona,04013,Unlisted,1426,2534
Arizona State Prison – Kingman,Mohave County,Arizona,04015,Private,186,1528
ASPC-Kingman,Mohave County,Arizona,04015,Private,2223,466
Mohave County jail,Mohave County,Arizona,04015,Local,792,1108
Unlisted - Mohave County,Mohave County,Arizona,04015,Unlisted,2420,1463
Arizona State Prison Complex – Winslow,Navajo County,Arizona,04017,State,322,161
ASPC- Winslow,Navajo County,Arizona,04017,State,898,726
Unlisted - Navajo County,Navajo County,Arizona,04017,Unlisted,810,708
Ajo District Jail,Pima County,Arizona,04019,Local,684,871
Arizona State Prison Complex – Tucson,Pima County,Arizona,04019,State,1790,957
ASPC Tucson,Pima County,Arizona,04019,State,2191,778
Behavioral Systems Southwest- Tuscon CCC,Pima County,Arizona,04019,Halfway House,210,924
Federal Correctional Complex ,Pima County,Arizona,04019,Federal,1709,2232
Federal Correctional Institution ,Pima County,Arizona,04019,Federal,1542,2682
Marana Community Correctional Treatment Facility,Pima County,Arizona,04019,Private,246,2381
New Beginnings Treatment Center,Pima County,Arizona,04019,Private,1902,293
Pima County Adult Detention Complex,Pima County,Arizona,04019,Local,1738,206
Pima County Minimum Security Facility,Pima County,Arizona,04019,Local,1671,662
Tucson- Camp,Pima County,Arizona,04019,Federal,180,427
Tucson FCI,Pima County,Arizona,04019,Federal,861,470
Tucson USP,Pima County,Arizona,04019,Federal,1134,147
United States Penitentiary ,Pima County,Arizona,04019,Federal,1659,1580
Unlisted - Pima County,Pima County,Arizona,04019,Unlisted,2665,1881
Arizona State Prison Complex – Eyman,Pinal County,Arizona,04021,State,1846,4549
Arizona State Prison Complex – Florence,Pinal County,Arizona,04021,State,1339,3946
Arizona State Prison Florence-West,Pinal County,Arizona,04021,Private,146,750
ASPC- Eyman,Pinal County,Arizona,04021,State,2190,335
ASPC Florence- Central Unit,Pinal County,Arizona,04021,State,587,579
ASPC Florence-Picacho Unit,Pinal County,Arizona,04021,State,2528,419
Central Arizona Correctional Facility,Pinal County,Arizona,04021,Private,49,441
Eloy Federal Contract Facility,Pinal County,Arizona,04021,State,2216,1919
Florence Correctional Center,Pinal County,Arizona,04021,State,2459,74
Florence Correctional Center-CCA,Pinal County,Arizona,04021,Private,67,328
Florence Service Processing Center,Pinal County,Arizona,04021,State,916,2376
Florence Staging Facility,Pinal County,Arizona,04021,Federal,2584,573
Florence West,Pinal County,Arizona,04021,Private,1934,2125
Pinal County Adult Detention Center,Pinal County,Arizona,04021,Federal,44,1416
La Palma Correction Center - Apso,Pinal County,Arizona,04021,State,101,534
La Palma Correctional Center,Pinal County,Arizona,04021,State,946,1292
Red Rock Correctional Center,Pinal County,Arizona,04021,Private,1509,1505
"Red Rock Correctional Center, Eloy Detention Center, La Palma COrrectional Center",Pinal County,Arizona,04021,Private,1119,2385
Saguaro Correctional Center,Pinal County,Arizona,04021,Private,1951,1528
Unlisted - Pinal County,Pinal County,Arizona,04021,Unlisted,198,1501
Unlisted - Santa Cruz County,Santa Cruz County,Arizona,04023,Unlisted,1688,2101
Unlisted - Yavapai County,Yavapai County,Arizona,04025,Unlisted,601,2522
Yavapai County Jail,Yavapai County,Arizona,04025,Local,2646,2072
Arizona State Prison Complex – Yuma,Yuma County,Arizona,04027,State,1426,1255
ASPC Yuma,Yuma County,Arizona,04027,State,2088,71
San Luis Regional Detention Center,San Luis,Arizona,04027,State,718,2233
San Luiz Detention Facility,Yuma County,Arizona,04027,Federal,2627,130
Yuma County Detention Center,Yuma County,Arizona,04027,Local,1861,373
Arkansas County Detention Center,Arkansas County,Arizona,05001,Local,1663,2423
Ashley County Jail,Ashley County,Arizona,05003,Local,1034,369
Baxter County Jail,Baxter County,Arizona,05005,Local,2360,427
Benton County Detention Facility,Benton County,Arizona,05007,Local,1590,997
Boone County Law Enforcement Center,Boone County,Arizona,05009,Local,1598,168
Unlisted - Bradley County,Bradley County,Arkansas,05011,Unlisted,2477,1191
Calhoun County Jail,Calhoun County,Arkansas,05013,Local,1105,1654
Carroll County Jail,Carroll County,Arkansas,05015,Local,618,1349
Delta Regional Facility,Chicot County,Arkansas,05017,State,2008,116
Dermott Police Station,Chicot County,Arkansas,05017,Local,600,1307
Clark County Jail,Clark County,Arkansas,05019,Local,2368,2141
Clay County Jail,Clay County,Arkansas,05021,Local,1503,712
Cleburne County Jail,Cleburne County,Arkansas,05023,Local,2459,752
Columbia County Jail,Columbia County,Arkansas,05027,Local,2402,872
Unlisted - Conway County,Conway County,Arkansas,05029,Unlisted,2617,2566
Craighead County Detention Center,Craighead County,Arkansas,05031,Local,2601,1397
Jonesboro Human Development Center,Craighead County,Arkansas,05031,local,557,1402
Crawford County Jail,Crawford County,Arkansas,05033,Local,1633,710
Crittenden County Jail,Crittenden County,Arkansas,05035,Local,2388,256
Cross County Criminal Justice Center,Cross County,Arkansas,05037,Local,1575,856
Dallas County Jail,Dallas County,Arkansas,05039,Local,801,1723
Drew County Detention Facility,Drew County,Arkansas,05043,Local,2103,386
Conway Human Development Center,Faulkner County,Arkansas,05045,Unlisted,185,1890
Faulkner County Detention Center,Faulkner County,Arkansas,05045,Local,1135,1276
Unlisted - Faulkner County,Faulkner County,Arkansas,05045,Unlisted,150,60
Fulton County Jail,Fulton County,Arkansas,05049,Local,2565,1213
Garland County Criminal Detention Facility,Garland County,Arkansas,05051,Local,665,1296
Unlisted - Garland County,Garland County,Arkansas,05051,Unlisted,2354,630
Sheridan Detention Center,Grant County,Arkansas,05053,Local,215,410
Greene County Jail,Greene County,Arkansas,05055,Local,45,128
Hempstead County Jail,Hempstead County,Arkansas,05057,Local,1873,1300
"Omega Technical Violator, Ouachita River Unit",Hot Spring County,Arkansas,05059,State,417,1791
Independence County Jail,Independence County,Arkansas,05063,Local,2634,400
Izard County Jail,Izard County,Arkansas,05065,Local,2685,1173
North Central Unit,Izard County,Arkansas,05065,State,157,984
Grimes-Mcpherson Correctional Facility,Jackson County,Arkansas,05067,State,582,2270
Jackson County Detention Center,Jackson County,Arkansas,05067,Local,376,1005
Jefferson County Jail and Adult Detention Center,Jefferson County,Arkansas,05069,Local,2310,529
Maximum Security Unit,Jefferson County,Arkansas,05069,State,2040,329
"Pine Bluff Unit, Diagnostic Unit",Jefferson County,Arkansas,05069,State,1054,2247
Randall J. Williams Correctional Facility,Jefferson County,Arkansas,05069,State,1760,750
Southeast Arkansas Community Correctional Center,Jefferson County,Arkansas,05069,State,2585,2401
Tucker Unit,Jefferson County,Arkansas,05069,State,1701,970
Johnson County Jail,Johnson County,Arkansas,05071,Local,2345,2114
Lafayette County Jail,Lafayette County,Arkansas,05073,Local,2135,837
Lawrence County Jail,Lawrence County,Arkansas,05075,Local,1603,1488
East Arkansas Regional Unit,Lee County,Arkansas,05077,State,2028,1111
Marianna City Jail,Lee County,Arkansas,05077,Local,1918,1793
Lincoln County Jail,Lincoln County,Arkansas,05079,Local,983,965
"Varner Unit, Varner Supermax Unit, Cummins Unit",Lincoln County,Arkansas,05079,State,1522,1238
Logan County Detention Center,Logan County,Arkansas,05083,Local,1060,2214
Unlisted - Logan County,Logan County,Arkansas,05083,Unlisted,2112,1231
Cabot City Jail,Lonoke County,Arkansas,05085,Local,1167,77
Lonoke County Detention Center,Lonoke County,Arkansas,05085,Local,2148,2028
Marion County Law Enforcement Center,Marion County,Arkansas,05089,Local,616,1889
Miller County Jail,Miller County,Arkansas,05091,Local,1870,1784
"Texarkana Regional Correctional Center, Southwest Arkansas Community Correctional Center",Miller County,Arkansas,05091,State,525,1016
Unlisted - Miller County,Miller County,Arkansas,05091,Unlisted,1766,23
Mississippi County Work Release Center,Mississippi County,Arkansas,05093,State,2023,1772
Northeast Arkansas Community Correctional Center,Mississippi County,Arkansas,05093,State,1125,2262
Brinkley City Jail,Monroe County,Arkansas,05095,Local,925,891
Monroe County Detention Center,Monroe County,Arkansas,05095,Local,2554,230
Montgomery County Jail,Montgomery County,Arkansas,05097,Local,1293,89
Nevada County Jail,Nevada County,Arkansas,05099,Local,1956,1177
Ouachita County Jail,Ouachita County,Arkansas,05103,Local,977,1871
Phillips County Jail,Phillips County,Arkansas,05107,Local,1909,2379
Pike County Jail,Pike County,Arkansas,05109,Local,2398,1808
Poinsett County Detention Center,Poinsett County,Arkansas,05111,Local,2341,2191
Polk County Jail,Polk County,Arkansas,05113,Local,787,1898
Pope County Detention Center,Pope County,Arkansas,05115,Local,2181,2182
Prairie County Jail,Prairie County,Arkansas,05117,Local,1344,1462
City of Faith Community Correction Center,Pulaski County,Arkansas,05119,Private,1540,2486
Pulaski County Regional Jail,Pulaski County,Arkansas,05119,Local,84,2096
Sober Living,Pulaski County,Arkansas,05119,Private,2195,1931
Unlisted - Pulaski County,Pulaski County,Arkansas,05119,Unlisted,1498,108
"Wrightsville Unit, Hawkins Center for Women",Pulaski County,Arkansas,05119,State,836,295
Randolph County Law Enforcement Center,Randolph County,Arkansas,05121,Local,184,964
FCI Forrest City and Camp,St. Francis County,Arkansas,05123,Federal,1104,617
Federal Correctional Complex ,St. Francis County,Arkansas,05123,Federal,1629,484
Federal Correctional Institution ,St. Francis County,Arkansas,05123,Federal,2454,412
St. Francis County Jail,St. Francis County,Arkansas,05123,Local,1435,727
Benton Unit,Saline County,Arkansas,05125,State,2076,812
Saline County Detention Facility,Saline County,Arkansas,05125,Local,1450,438
Searcy County Jail,Searcy County,Arkansas,05129,Local,151,338
Sebastian County Adult Detention Center,Sebastian County,Arkansas,05131,Local,2312,1321
Sevier County Jail,Sevier County,Arkansas,05133,Local,552,1441
Unlisted - Sevier County,Sevier County,Arkansas,05133,Unlisted,2575,78
Sharp County Detention Center,Sharp County,Arkansas,05135,Local,1532,1130
Stone County Detention Facility,Stone County,Arkansas,05137,Local,2162,316
Union County Criminal Justice Facility,Union County,Arkansas,05139,Local,2256,823
Van Buren County Detention Center,Van Buren County,Arkansas,05141,Local,348,260
Northwest Arkansas Work Release Center,Washington County,Arkansas,05143,State,1789,280
Unlisted - Washington County,Washington County,Arkansas,05143,Unlisted,2517,548
Washington County Detention Center,Washington County,Arkansas,05143,Local,987,1076
Woodruff County Jail,Woodruff County,Arkansas,05147,Local,1787,1380
Yell County,Yell County,Arkansas,05149,Local,1597,1160
Dublin FCI and Camp,Alameda County,California,06001,Federal,740,355
Federal Correctional Institution ,Alameda County,California,06001,Federal,814,3670
Glenn Dyer Detention Facility,Alameda County,California,06001,Local,1803,5671
Oakland Center- Cornell Corrections,Alameda County,California,06001,Private,1471,4773
Santa Rita Jail,Alameda County,California,06001,Local,2626,2544
Unlisted - Alameda County,Alameda County,California,06001,Unlisted,796,1068
Amador County Jail,Amador County,California,06005,Local,1259,3754
Mule Creek State Prison,Amador County,California,06005,State,99,2016
Unlisted - Amador County,Amador County,California,06005,Unlisted,1859,649
Butte County Jail,Butte County,California,06007,Local,652,4581
Calaveras County Jail,Calaveras County,California,06009,Local,1331,1120
Vallecito Conservation Camp- SCC,Calaveras County,California,06009,State,2401,2058
Colusa County Jail,Colusa County,California,06011,Local,217,3278
Contra Costa County,Contra Costa County,California,06013,Local,1382,2654
Contra Costa West County Detention Facility,Contra Costa County,California,06013,Federal,496,2458
Marsh Creek Detention Facility,Contra Costa County,California,06013,Local,1841,968
Unlisted - Contra Costa County,Contra Costa County,California,06013,Unlisted,1912,4713
West County Detention Facility,Contra Costa County,California,06013,Local,515,2127
Alder Conservation Camp,Del Norte County,California,06015,State,819,3181
Del Norte County Jail,Del Norte County,California,06015,Local,927,4122
Pelican Bay State Prison,Del Norte County,California,06015,State,1500,3612
El Dorado County,El Dorado County,California,06017,Local,488,6663
Growlersburg Conservation Camp,El Dorado County,California,06017,State,2200,2237
South Lake Tahoe Jail,El Dorado County,California,06017,Local,588,4438
Claremont Custody Center,Fresno County,California,06019,State,1605,6515
Federal Correctional Institution - Fresno County,Fresno County,California,06019,Federal,1723,4990
Fresno County Jail,Fresno County,California,06019,Local,134,4668
Pleasant Valley State Prison,Fresno County,California,06019,State,1753,2442
Unlisted - Fresno County,Fresno County,California,06019,Unlisted,1605,1684
Glenn County Jail,Glenn County,California,06021,Local,496,4297
Eel River Conservation Camp,Humboldt County,California,06023,State,1645,1549
Humboldt County Jail,Humboldt County,California,06023,Local,1872,1987
California State Prison- Centinela,Imperial County,California,06025,State,2467,2181
Calipatria State Prison,Imperial County,California,06025,State,1681,2804
El Centro Detention Center,Imperial County,California,06025,Federal,2205,4373
Imperial County Jail,Imperial County,California,06025,Local,522,4219
Imperial Regional Detention Facility,Imperial County,California,06025,State,725,3443
Unlisted - Inyo County,Inyo County,California,06027,Unlisted,450,1196
California City Correctional Facility,Kern County,California,06029,State,941,6450
California Correctional Institution,Kern County,California,06029,State,1400,5125
