state name,county fips,county name,votes gop,votes dem,total votes,% GOP,% DEM,Majority,% Votes
Alabama,01051,Elmore County,30164,10367,41030,73.52%,25.27%,GOP,98.78%
Alabama,01053,Escambia County,10869,4918,15910,68.32%,30.91%,GOP,99.23%
Alabama,01055,Etowah County,35528,11567,47728,74.44%,24.24%,GOP,98.67%
Alabama,01057,Fayette County,7300,1395,8766,83.28%,15.91%,GOP,99.19%
Alabama,01059,Franklin County,10376,2086,12578,82.49%,16.58%,GOP,99.08%
Alabama,01061,Geneva County,10848,1595,12545,86.47%,12.71%,GOP,99.19%
Alabama,01063,Greene County,875,3884,4775,18.32%,81.34%,DEM,99.66%
Alabama,01065,Hale County,3192,4663,7900,40.41%,59.03%,DEM,99.43%
Alabama,01067,Henry County,6607,2606,9298,71.06%,28.03%,GOP,99.09%
Alabama,01069,Houston County,32618,12917,46173,70.64%,27.98%,GOP,98.62%
Alabama,01071,Jackson County,19670,3717,23636,83.22%,15.73%,GOP,98.95%
Alabama,01073,Jefferson County,138843,181688,325848,42.61%,55.76%,DEM,98.37%
Alabama,01075,Lamar County,6174,978,7193,85.83%,13.60%,GOP,99.43%
Alabama,01077,Lauderdale County,31721,11915,44339,71.54%,26.87%,GOP,98.41%
Alabama,01079,Lawrence County,12322,3562,16031,76.86%,22.22%,GOP,99.08%
Alabama,01081,Lee County,42221,27860,71449,59.09%,38.99%,GOP,98.09%
Alabama,01083,Limestone County,34640,13672,49235,70.36%,27.77%,GOP,98.13%
Alabama,01085,Lowndes County,1836,4972,6835,26.86%,72.74%,DEM,99.60%
Alabama,01087,Macon County,1541,7108,8723,17.67%,81.49%,DEM,99.15%
Alabama,01089,Madison County,102780,87286,194767,52.77%,44.82%,GOP,97.59%
Alabama,01091,Marengo County,5343,5488,10900,49.02%,50.35%,DEM,99.37%
Alabama,01093,Marion County,12205,1463,13807,88.40%,10.60%,GOP,98.99%
Alabama,01095,Marshall County,33191,5943,39655,83.70%,14.99%,GOP,98.69%
Alabama,01097,Mobile County,101243,79474,183164,55.27%,43.39%,GOP,98.66%
Alabama,01099,Monroe County,6147,4455,10668,57.62%,41.76%,GOP,99.38%
Alabama,01101,Montgomery County,33311,64529,99139,33.60%,65.09%,DEM,98.69%
Alabama,01103,Morgan County,39664,13234,53722,73.83%,24.63%,GOP,98.47%
Alabama,01105,Perry County,1339,3860,5230,25.60%,73.80%,DEM,99.41%
Alabama,01107,Pickens County,5594,4022,9668,57.86%,41.60%,GOP,99.46%
Alabama,01109,Pike County,8042,5636,13841,58.10%,40.72%,GOP,98.82%
Alabama,01111,Randolph County,8559,2203,10837,78.98%,20.33%,GOP,99.31%
Alabama,01113,Russell County,9864,11228,21329,46.25%,52.64%,DEM,98.89%
Alabama,01115,St. Clair County,36166,7744,44441,81.38%,17.43%,GOP,98.81%
Alabama,01117,Shelby County,79700,33268,114950,69.33%,28.94%,GOP,98.28%
Alabama,01119,Sumter County,1598,4648,6291,25.40%,73.88%,DEM,99.28%
Alabama,01121,Talladega County,22235,13138,35663,62.35%,36.84%,GOP,99.19%
Alabama,01123,Tallapoosa County,14963,5859,20991,71.28%,27.91%,GOP,99.19%
Alabama,01125,Tuscaloosa County,51117,37765,90172,56.69%,41.88%,GOP,98.57%
Alabama,01127,Walker County,26002,4834,31170,83.42%,15.51%,GOP,98.93%
Alabama,01129,Washington County,6564,2258,8876,73.95%,25.44%,GOP,99.39%
Alabama,01131,Wilcox County,1833,4048,5903,31.05%,68.58%,DEM,99.63%
Alabama,01133,Winston County,10195,974,11284,90.35%,8.63%,GOP,98.98%
Alaska,02013,Aleutians East Borough,685,580,1286,53.27%,45.10%,GOP,98.37%
Alaska,02016,Aleutians West Census Area,1283,842,2171,59.10%,38.78%,GOP,97.88%
Alaska,02020,Anchorage,59758,50145,110995,53.84%,45.18%,GOP,99.02%
Alaska,02050,Bethel Census Area,3252,3795,7086,45.89%,53.56%,DEM,99.45%
Alaska,02060,Bristol Bay Borough,168,148,322,52.17%,45.96%,GOP,98.14%
Alaska,02068,Denali Borough,425,374,808,52.60%,46.29%,GOP,98.89%
Alaska,02070,Dillingham Census Area,1029,904,1984,51.86%,45.56%,GOP,97.43%
Alaska,02090,Fairbanks North Star Borough,19822,16741,37256,53.20%,44.94%,GOP,98.14%
Alaska,02100,Haines Borough,509,447,974,52.26%,45.89%,GOP,98.15%
Alaska,02105,Hoonah-Angoon Census Area,468,412,895,52.29%,46.03%,GOP,98.32%
Alaska,02110,Juneau City and Borough,6376,5811,12385,51.48%,46.92%,GOP,98.40%
Alaska,02122,Kenai Peninsula Borough,12352,10031,22674,54.48%,44.24%,GOP,98.72%
Alaska,02130,Ketchikan Gateway Borough,2789,2466,5374,51.90%,45.89%,GOP,97.79%
Alaska,02150,Kodiak Island Borough,2796,2114,5007,55.84%,42.22%,GOP,98.06%
Alaska,02158,Kusilvak Census Area,1796,1398,3246,55.33%,43.07%,GOP,98.40%
Alaska,02164,Lake and Peninsula Borough,282,389,685,41.17%,56.79%,DEM,97.96%
Alaska,02170,Matanuska-Susitna Borough,18747,22685,41674,44.98%,54.43%,DEM,99.42%
Alaska,02180,Nome Census Area,1763,2058,3856,45.72%,53.37%,DEM,99.09%
Alaska,02185,North Slope Borough,1628,2056,3786,43.00%,54.31%,DEM,97.31%
Alaska,02188,Northwest Arctic Borough,1051,1287,2364,44.46%,54.44%,DEM,98.90%
Alaska,02195,Petersburg Borough,489,596,1107,44.17%,53.84%,DEM,98.01%
Alaska,02198,Prince of Wales-Hyder Census Area,1268,1074,2371,53.48%,45.30%,GOP,98.78%
Alaska,02220,Sitka City and Borough,2253,1944,4261,52.87%,45.62%,GOP,98.50%
Alaska,02230,Skagway Municipality,278,201,485,57.32%,41.44%,GOP,98.76%
Alaska,02240,Southeast Fairbanks Census Area,1376,1244,2654,51.85%,46.87%,GOP,98.72%
Alaska,02261,Valdez-Cordova Census Area,1812,1629,3514,51.57%,46.36%,GOP,97.92%
Alaska,02275,Wrangell City and Borough,432,506,955,45.24%,52.98%,DEM,98.22%
Alaska,02290,Yukon-Koyukuk Census Area,1089,983,2098,51.91%,46.85%,GOP,98.76%
Alaska,02882,Yakutat,177,139,322,54.97%,43.17%,GOP,98.14%
Alaska,02930,Skagway Municipality,352,288,652,53.99%,44.17%,GOP,98.16%
Alaska,02940,Southeast Fairbanks Census Area ,1421,1217,2688,52.86%,45.28%,GOP,98.14%
Arizona,04001,Apache County,11442,23293,35172,32.53%,66.23%,DEM,98.76%
Arizona,04003,Cochise County,35557,23732,60442,58.83%,39.26%,GOP,98.09%
Arizona,04005,Coconino County,27052,44698,73272,36.92%,61.00%,DEM,97.92%
Arizona,04007,Gila County,18377,8943,27662,66.43%,32.33%,GOP,98.76%
Arizona,04009,Graham County,10749,4034,14995,71.68%,26.90%,GOP,98.59%
Arizona,04011,Greenlee County,2433,1182,3685,66.02%,32.08%,GOP,98.10%
Arizona,04012,La Paz County,5129,2236,7458,68.77%,29.98%,GOP,98.75%
Arizona,04013,Maricopa County,995665,1040774,2068144,48.14%,50.32%,DEM,98.47%
Arizona,04015,Mohave County,78535,24831,104668,75.03%,23.72%,GOP,98.76%
Arizona,04017,Navajo County,27657,23383,51767,53.43%,45.17%,GOP,98.60%
Arizona,04019,Pima County,207758,304981,520397,39.92%,58.61%,DEM,98.53%
Arizona,04021,Pinal County,107077,75106,185525,57.72%,40.48%,GOP,98.20%
Arizona,04023,Santa Cruz County,6194,13138,19556,31.67%,67.18%,DEM,98.85%
Arizona,04025,Yavapai County,91527,49602,143221,63.91%,34.63%,GOP,98.54%
Arizona,04027,Yuma County,36534,32210,69881,52.28%,46.09%,GOP,98.37%
Arkansas,05001,Arkansas County,4304,1818,6292,68.40%,28.89%,GOP,97.30%
Arkansas,05003,Ashley County,5548,2125,7926,70.00%,26.81%,GOP,96.81%
Arkansas,05005,Baxter County,15836,4635,21007,75.38%,22.06%,GOP,97.45%
Arkansas,05007,Benton County,73965,42249,119912,61.68%,35.23%,GOP,96.92%
Arkansas,05009,Boone County,13652,3064,17114,79.77%,17.90%,GOP,97.67%
Arkansas,05011,Bradley County,2335,1214,3654,63.90%,33.22%,GOP,97.13%
Arkansas,05013,Calhoun County,1636,479,2182,74.98%,21.95%,GOP,96.93%
Arkansas,05015,Carroll County,7424,4023,11797,62.93%,34.10%,GOP,97.03%
Arkansas,05017,Chicot County,1752,2260,4103,42.70%,55.08%,DEM,97.78%
Arkansas,05019,Clark County,4616,3438,8395,54.99%,40.95%,GOP,95.94%
Arkansas,05021,Clay County,4086,962,5183,78.83%,18.56%,GOP,97.40%
Arkansas,05023,Cleburne County,10328,1988,12680,81.45%,15.68%,GOP,97.13%
Arkansas,05025,Cleveland County,2867,651,3600,79.64%,18.08%,GOP,97.72%
Arkansas,05027,Columbia County,5500,2814,8616,63.83%,32.66%,GOP,96.49%
Arkansas,05029,Conway County,5694,2615,8685,65.56%,30.11%,GOP,95.67%
Arkansas,05031,Craighead County,25558,11921,38511,66.37%,30.95%,GOP,97.32%
Arkansas,05033,Crawford County,18607,4959,24091,77.24%,20.58%,GOP,97.82%
Arkansas,05035,Crittenden County,7333,8514,16367,44.80%,52.02%,DEM,96.82%
Arkansas,05037,Cross County,4946,1772,6942,71.25%,25.53%,GOP,96.77%
Arkansas,05039,Dallas County,1573,963,2649,59.38%,36.35%,GOP,95.73%
Arkansas,05041,Desha County,1921,2016,4164,46.13%,48.41%,GOP,94.55%
Arkansas,05043,Drew County,4349,2426,6908,62.96%,35.12%,GOP,98.07%
Arkansas,05045,Faulkner County,34421,18347,54428,63.24%,33.71%,GOP,96.95%
Arkansas,05047,Franklin County,5677,1300,7129,79.63%,18.24%,GOP,97.87%
Arkansas,05049,Fulton County,3961,1035,5119,77.38%,20.22%,GOP,97.60%
Arkansas,05051,Garland County,29069,14045,44199,65.77%,31.78%,GOP,97.55%
Arkansas,05053,Grant County,6794,1268,8200,82.85%,15.46%,GOP,98.32%
Arkansas,05055,Greene County,12670,3058,16100,78.70%,18.99%,GOP,97.69%
Arkansas,05057,Hempstead County,4470,2138,6848,65.27%,31.22%,GOP,96.50%
Arkansas,05059,Hot Spring County,9202,3082,12557,73.28%,24.54%,GOP,97.83%
Arkansas,05061,Howard County,3367,1340,4834,69.65%,27.72%,GOP,97.37%
Arkansas,05063,Independence County,11250,2806,14512,77.52%,19.34%,GOP,96.86%
Arkansas,05065,Izard County,4631,1021,5810,79.71%,17.57%,GOP,97.28%
Arkansas,05067,Jackson County,3593,1365,5091,70.58%,26.81%,GOP,97.39%
Arkansas,05069,Jefferson County,9521,14981,25158,37.84%,59.55%,DEM,97.39%
Arkansas,05071,Johnson County,6938,2283,9498,73.05%,24.04%,GOP,97.08%
Arkansas,05073,Lafayette County,1757,839,2679,65.58%,31.32%,GOP,96.90%
Arkansas,05075,Lawrence County,4569,1080,5857,78.01%,18.44%,GOP,96.45%
Arkansas,05077,Lee County,1286,1423,2848,45.15%,49.96%,DEM,95.12%
Arkansas,05079,Lincoln County,2729,1032,3875,70.43%,26.63%,GOP,97.06%
Arkansas,05081,Little River County,3715,1226,5177,71.76%,23.68%,GOP,95.44%
Arkansas,05083,Logan County,6441,1544,8225,78.31%,18.77%,GOP,97.08%
Arkansas,05085,Lonoke County,22884,6686,30662,74.63%,21.81%,GOP,96.44%
Arkansas,05087,Madison County,5658,1563,7351,76.97%,21.26%,GOP,98.23%
Arkansas,05089,Marion County,5783,1531,7503,77.08%,20.41%,GOP,97.48%
Arkansas,05091,Miller County,11920,4245,16529,72.12%,25.68%,GOP,97.80%
Arkansas,05093,Mississippi County,7262,4542,12287,59.10%,36.97%,GOP,96.07%
Arkansas,05095,Monroe County,1545,1147,2816,54.87%,40.73%,GOP,95.60%
Arkansas,05097,Montgomery County,3046,731,3873,78.65%,18.87%,GOP,97.52%
Arkansas,05099,Nevada County,2133,1076,3358,63.52%,32.04%,GOP,95.56%
Arkansas,05101,Newton County,3192,709,3998,79.84%,17.73%,GOP,97.57%
Arkansas,05103,Ouachita County,5294,3995,9629,54.98%,41.49%,GOP,96.47%
Arkansas,05105,Perry County,3479,1012,4627,75.19%,21.87%,GOP,97.06%
Arkansas,05107,Phillips County,2417,3623,6242,38.72%,58.04%,DEM,96.76%
Arkansas,05109,Pike County,3519,644,4246,82.88%,15.17%,GOP,98.05%
Arkansas,05111,Poinsett County,5918,1424,7521,78.69%,18.93%,GOP,97.62%
Arkansas,05113,Polk County,7035,1246,8490,82.86%,14.68%,GOP,97.54%
Arkansas,05115,Pope County,18081,5772,24432,74.01%,23.62%,GOP,97.63%
Arkansas,05117,Prairie County,2786,654,3495,79.71%,18.71%,GOP,98.43%
Arkansas,05119,Pulaski County,63687,101947,169956,37.47%,59.98%,DEM,97.46%
Arkansas,05121,Randolph County,5355,1215,6812,78.61%,17.84%,GOP,96.45%
Arkansas,05123,St. Francis County,3242,3604,7108,45.61%,50.70%,DEM,96.31%
Arkansas,05125,Saline County,39556,16060,56959,69.45%,28.20%,GOP,97.64%
Arkansas,05127,Scott County,2962,483,3551,83.41%,13.60%,GOP,97.01%
Arkansas,05129,Searcy County,3365,588,4019,83.73%,14.63%,GOP,98.36%
Arkansas,05131,Sebastian County,31198,14487,47140,66.18%,30.73%,GOP,96.91%
Arkansas,05133,Sevier County,3884,1116,5202,74.66%,21.45%,GOP,96.12%
Arkansas,05135,Sharp County,5938,1398,7566,78.48%,18.48%,GOP,96.96%
Arkansas,05137,Stone County,4616,1180,5938,77.74%,19.87%,GOP,97.61%
Arkansas,05139,Union County,10478,5584,16607,63.09%,33.62%,GOP,96.72%
Arkansas,05141,Van Buren County,6034,1593,7807,77.29%,20.40%,GOP,97.69%
Arkansas,05143,Washington County,47504,43824,94266,50.39%,46.49%,GOP,96.88%
Arkansas,05145,White County,24182,5978,30885,78.30%,19.36%,GOP,97.65%
Arkansas,05147,Woodruff County,1543,856,2476,62.32%,34.57%,GOP,96.89%
Arkansas,05149,Yell County,5226,1284,6741,77.53%,19.05%,GOP,96.57%
California,06001,Alameda County,136238,617486,769617,17.70%,80.23%,DEM,97.93%
California,06003,Alpine County,238,473,736,32.34%,64.27%,DEM,96.60%
California,06005,Amador County,13585,8153,22302,60.91%,36.56%,GOP,97.47%
California,06007,Butte County,48723,50416,102024,47.76%,49.42%,GOP,97.17%
California,06009,Calaveras County,16287,9845,26717,60.96%,36.85%,GOP,97.81%
California,06011,Colusa County,4539,3218,7919,57.32%,40.64%,GOP,97.95%
California,06013,Contra Costa County,152497,415573,579996,26.29%,71.65%,DEM,97.94%
California,06015,Del Norte County,6444,4659,11416,56.45%,40.81%,GOP,97.26%
California,06017,El Dorado County,61820,51606,116101,53.25%,44.45%,GOP,97.70%
California,06019,Fresno County,163880,192118,363271,45.11%,52.89%,DEM,98.00%
California,06021,Glenn County,7000,3939,11170,62.67%,35.26%,GOP,97.93%
California,06023,Humboldt County,21069,43633,66914,31.49%,65.21%,DEM,96.69%
California,06025,Imperial County,20040,33636,54819,36.56%,61.36%,DEM,97.91%
California,06027,Inyo County,4611,4623,9460,48.74%,48.87%,GOP,97.61%
California,06029,Kern County,159980,129074,296176,54.02%,43.58%,GOP,97.60%
California,06031,Kings County,23792,18409,43273,54.98%,42.54%,GOP,97.52%
California,06033,Lake County,3955,6874,11038,35.83%,62.28%,DEM,98.11%
California,06035,Lassen County,8814,2775,11800,74.69%,23.52%,GOP,98.21%
California,06037,Los Angeles County,1143687,3024321,4256867,26.87%,71.05%,DEM,97.91%
California,06039,Madera County,29361,23154,53690,54.69%,43.13%,GOP,97.81%
California,06041,Marin County,24610,128262,155771,15.80%,82.34%,DEM,98.14%
California,06043,Mariposa County,5950,4088,10280,57.88%,39.77%,GOP,97.65%
California,06045,Mendocino County,13267,28781,43335,30.61%,66.42%,DEM,97.03%
California,06047,Merced County,39397,48991,90541,43.51%,54.11%,DEM,97.62%
California,06049,Modoc County,3109,1150,4338,71.67%,26.51%,GOP,98.18%
California,06051,Mono County,2513,4013,6737,37.30%,59.57%,DEM,96.87%
California,06053,Monterey County,46299,113953,163883,28.25%,69.53%,DEM,97.78%
California,06055,Napa County,19388,46962,67847,28.58%,69.22%,DEM,97.79%
California,06057,Nevada County,26779,36359,64738,41.37%,56.16%,DEM,97.53%
California,06059,Orange County,676496,814005,1521719,44.46%,53.49%,DEM,97.95%
California,06061,Placer County,119013,104134,228616,52.06%,45.55%,GOP,97.61%
California,06063,Plumas County,6445,4561,11256,57.26%,40.52%,GOP,97.78%
California,06065,Riverside County,448281,527475,995249,45.04%,53.00%,DEM,98.04%
California,06067,Sacramento County,259394,440790,718260,36.11%,61.37%,DEM,97.48%
California,06069,San Benito County,10412,17315,28317,36.77%,61.15%,DEM,97.92%
California,06071,San Bernardino County,364325,453380,836393,43.56%,54.21%,DEM,97.77%
California,06073,San Diego County,599539,963797,1600272,37.46%,60.23%,DEM,97.69%
California,06075,San Francisco County,56329,377772,442969,12.72%,85.28%,DEM,98.00%
California,06077,San Joaquin County,115378,154460,275706,41.85%,56.02%,DEM,97.87%
California,06079,San Luis Obispo County,66661,87491,158035,42.18%,55.36%,DEM,97.54%
California,06081,San Mateo County,75505,291215,373800,20.20%,77.91%,DEM,98.11%
California,06083,Santa Barbara County,63583,126419,194378,32.71%,65.04%,DEM,97.75%
California,06085,Santa Clara County,214538,617824,850297,25.23%,72.66%,DEM,97.89%
California,06087,Santa Cruz County,26821,113874,144295,18.59%,78.92%,DEM,97.51%
California,06089,Shasta County,60372,29874,92326,65.39%,32.36%,GOP,97.75%
California,06091,Sierra County,1142,730,1930,59.17%,37.82%,GOP,96.99%
California,06093,Siskiyou County,13288,9591,23446,56.67%,40.91%,GOP,97.58%
California,06095,Solano County,69306,131639,205831,33.67%,63.95%,DEM,97.63%
California,06097,Sonoma County,61825,199938,268252,23.05%,74.53%,DEM,97.58%
California,06099,Stanislaus County,104145,105841,214876,48.47%,49.26%,GOP,97.72%
California,06101,Sutter County,24372,17364,42634,57.17%,40.73%,GOP,97.89%
California,06103,Tehama County,18865,8802,28319,66.62%,31.08%,GOP,97.70%
California,06105,Trinity County,3188,2851,6258,50.94%,45.56%,GOP,96.50%
California,06107,Tulare County,77413,65944,146487,52.85%,45.02%,GOP,97.86%
California,06109,Tuolumne County,17689,11978,30401,58.19%,39.40%,GOP,97.59%
California,06111,Ventura County,162146,251298,422539,38.37%,59.47%,DEM,97.85%
California,06113,Yolo County,22422,58328,82624,27.14%,70.59%,DEM,97.73%
California,06115,Yuba County,16210,10343,27329,59.31%,37.85%,GOP,97.16%
Colorado,08001,Adams County,95657,134202,236735,40.41%,56.69%,DEM,97.10%
Colorado,08003,Alamosa County,3813,3759,7808,48.83%,48.14%,GOP,96.98%
Colorado,08005,Arapahoe County,127323,213607,350183,36.36%,61.00%,DEM,97.36%
Colorado,08007,Archuleta County,5189,3738,9144,56.75%,40.88%,GOP,97.63%
Colorado,08009,Baca County,1867,317,2225,83.91%,14.25%,GOP,98.16%
Colorado,08011,Bent County,1503,732,2274,66.09%,32.19%,GOP,98.28%
Colorado,08013,Boulder County,42501,159089,206111,20.62%,77.19%,DEM,97.81%
Colorado,08014,Broomfield County,16295,29077,46632,34.94%,62.35%,DEM,97.30%
Colorado,08015,Chaffee County,6222,7160,13717,45.36%,52.20%,DEM,97.56%
Colorado,08017,Cheyenne County,993,131,1136,87.41%,11.53%,GOP,98.94%
Colorado,08019,Clear Creek County,2754,3604,6548,42.06%,55.04%,DEM,97.10%
Colorado,08021,Conejos County,2286,1959,4333,52.76%,45.21%,GOP,97.97%
Colorado,08023,Costilla County,741,1311,2094,35.39%,62.61%,DEM,97.99%
Colorado,08025,Crowley County,1271,437,1750,72.63%,24.97%,GOP,97.60%
Colorado,08027,Custer County,2474,1112,3634,68.08%,30.60%,GOP,98.68%
Colorado,08029,Delta County,13081,5887,19370,67.53%,30.39%,GOP,97.92%
Colorado,08031,Denver County,71617,313292,393824,18.19%,79.55%,DEM,97.74%
Colorado,08033,Dolores County,1089,341,1449,75.16%,23.53%,GOP,98.69%
Colorado,08035,Douglas County,121270,104653,231599,52.36%,45.19%,GOP,97.55%
Colorado,08037,Eagle County,9892,18588,29140,33.95%,63.79%,DEM,97.74%
Colorado,08039,Elbert County,14027,4490,18983,73.89%,23.65%,GOP,97.55%
Colorado,08041,El Paso County,202828,161941,378849,53.54%,42.75%,GOP,96.28%
Colorado,08043,Fremont County,17517,7369,25557,68.54%,28.83%,GOP,97.37%
Colorado,08045,Garfield County,14717,15427,30904,47.62%,49.92%,DEM,97.54%
Colorado,08047,Gilpin County,1833,2223,4186,43.79%,53.11%,DEM,96.89%
Colorado,08049,Grand County,4883,4710,9870,49.47%,47.72%,GOP,97.19%
Colorado,08051,Gunnison County,3599,6976,10887,33.06%,64.08%,DEM,97.13%
Colorado,08053,Hinsdale County,353,255,632,55.85%,40.35%,GOP,96.20%
Colorado,08055,Huerfano County,2203,2076,4406,50.00%,47.12%,GOP,97.12%
Colorado,08057,Jackson County,681,175,876,77.74%,19.98%,GOP,97.72%
Colorado,08059,Jefferson County,148417,218396,377357,39.33%,57.88%,DEM,97.21%
Colorado,08061,Kiowa County,795,98,903,88.04%,10.85%,GOP,98.89%
Colorado,08063,Kit Carson County,3144,662,3871,81.22%,17.10%,GOP,98.32%
Colorado,08065,Lake County,1497,2303,3961,37.79%,58.14%,DEM,95.94%
Colorado,08067,La Plata County,14233,20548,35667,39.91%,57.61%,DEM,97.52%
Colorado,08069,Larimer County,91489,126120,224338,40.78%,56.22%,DEM,97.00%
Colorado,08071,Las Animas County,4284,3497,7961,53.81%,43.93%,GOP,97.74%
Colorado,08073,Lincoln County,2135,470,2651,80.54%,17.73%,GOP,98.26%
Colorado,08075,Logan County,8087,2218,10532,76.79%,21.06%,GOP,97.84%
Colorado,08077,Mesa County,56894,31536,90622,62.78%,34.80%,GOP,97.58%
Colorado,08079,Mineral County,427,317,756,56.48%,41.93%,GOP,98.41%
Colorado,08081,Moffat County,5670,1203,7026,80.70%,17.12%,GOP,97.82%
Colorado,08083,Montezuma County,9306,5836,15500,60.04%,37.65%,GOP,97.69%
Colorado,08085,Montrose County,16770,7687,24922,67.29%,30.84%,GOP,98.13%
Colorado,08087,Morgan County,9593,3876,13744,69.80%,28.20%,GOP,98.00%
Colorado,08089,Otero County,5756,3605,9576,60.11%,37.65%,GOP,97.75%
Colorado,08091,Ouray County,1577,2365,4020,39.23%,58.83%,DEM,98.06%
Colorado,08093,Park County,6991,4903,12290,56.88%,39.89%,GOP,96.78%
Colorado,08095,Phillips County,1958,486,2485,78.79%,19.56%,GOP,98.35%
Colorado,08097,Pitkin County,2780,8989,11957,23.25%,75.18%,DEM,98.43%
Colorado,08099,Prowers County,4008,1458,5561,72.07%,26.22%,GOP,98.29%
Colorado,08101,Pueblo County,42252,43772,88299,47.85%,49.57%,GOP,97.42%
Colorado,08103,Rio Blanco County,3061,561,3691,82.93%,15.20%,GOP,98.13%
Colorado,08105,Rio Grande County,3660,2495,6305,58.05%,39.57%,GOP,97.62%
Colorado,08107,Routt County,5925,10582,16876,35.11%,62.70%,DEM,97.81%
Colorado,08109,Saguache County,1413,1884,3389,41.69%,55.59%,DEM,97.29%
Colorado,08111,San Juan County,202,342,563,35.88%,60.75%,DEM,96.63%
Colorado,08113,San Miguel County,1136,3924,5147,22.07%,76.24%,DEM,98.31%
Colorado,08115,Sedgwick County,1121,301,1446,77.52%,20.82%,GOP,98.34%
Colorado,08117,Summit County,5319,12620,18465,28.81%,68.35%,DEM,97.15%
Colorado,08119,Teller County,11241,5278,16939,66.36%,31.16%,GOP,97.52%
Colorado,08121,Washington County,2595,369,3008,86.27%,12.27%,GOP,98.54%
Colorado,08123,Weld County,96145,66060,166968,57.58%,39.56%,GOP,97.15%
Colorado,08125,Yuma County,4107,785,4981,82.45%,15.76%,GOP,98.21%
Connecticut,09001,Fairfield County,169039,297505,473005,35.74%,62.90%,DEM,98.63%
Connecticut,09003,Hartford County,159024,283368,449335,35.39%,63.06%,DEM,98.45%
Connecticut,09005,Litchfield County,55601,50164,107549,51.70%,46.64%,GOP,98.34%
Connecticut,09007,Middlesex County,40665,56848,99198,40.99%,57.31%,DEM,98.30%
Connecticut,09009,New Haven County,169892,242629,418003,40.64%,58.04%,DEM,98.69%
Connecticut,09011,New London County,57110,79459,139604,40.91%,56.92%,DEM,97.83%
Connecticut,09013,Tolland County,34819,44006,80546,43.23%,54.63%,DEM,97.86%
Connecticut,09015,Windham County,29141,26701,57077,51.06%,46.78%,GOP,97.84%
Delaware,10001,Kent County,41009,44552,87025,47.12%,51.19%,DEM,98.32%
Delaware,10003,New Castle County,88364,195034,287633,30.72%,67.81%,DEM,98.53%
Delaware,10005,Sussex County,71230,56682,129352,55.07%,43.82%,GOP,98.89%
District of Columbia,11001,District of Columbia,18586,317323,344356,5.40%,92.15%,DEM,97.55%
Florida,12001,Alachua County,50972,89704,142604,35.74%,62.90%,DEM,98.65%
Florida,12003,Baker County,11911,2037,14059,84.72%,14.49%,GOP,99.21%
Florida,12005,Bay County,66097,25614,93024,71.05%,27.53%,GOP,98.59%
Florida,12007,Bradford County,10334,3160,13632,75.81%,23.18%,GOP,98.99%
Florida,12009,Brevard County,207883,148549,360764,57.62%,41.18%,GOP,98.80%
Florida,12011,Broward County,333409,618752,957672,34.81%,64.61%,DEM,99.42%
Florida,12013,Calhoun County,5274,1209,6526,80.82%,18.53%,GOP,99.34%
Florida,12015,Charlotte County,73243,42273,116340,62.96%,36.34%,GOP,99.29%
