Bureau of Justice Statistics,,,,,,,,,,
"Title: Estimated number of persons supervised by U.S. adult correctional systems, by correctional status, 1980-2016",,,,,,,,,,
"Data source:  Bureau of Justice Statistics, Annual Probation Survey, Annual Parole Survey, Annual Survey of Jails, Census of Jail Inmates, and National Prisoner Statistics Program, 1980-2016",,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-207-0765,,,,,,,,,,
Date of version: 3/23/2018,,,,,,,,,,
,,,,,,,,,,
"Estimated number of persons supervised by U.S. adult correctional systems, by correctional status, 1980-2016",,,,,,,,,,
,,,,,,,,,,
,,Community supervision population,,,,Incarcerated population,,,,
2002,"6,730,900","4,748,100","3,995,000","753,100",,"2,033,100","665,500","1,440,100","1,276,600","163,500"
2003,"6,886,800","4,847,300","4,073,800","773,500",,"2,086,500","691,300","1,468,600","1,295,500","173,100"
2004,"6,997,000","4,916,300","4,140,400","775,900",,"2,136,600","714,000","1,497,100","1,316,800","180,300"
2005,"7,055,600","4,946,600","4,162,300","784,400",,"2,200,400","747,500","1,525,900","1,338,300","187,600"
2006,"7,199,700","5,035,000","4,236,800","798,200",,"2,256,600","765,800","1,568,700","1,375,600","193,000"
2007,"7,339,600","5,119,000","4,293,000","826,100",,"2,296,400","780,200","1,596,800","1,397,200","199,600"
2008,"7,312,600","5,093,400","4,271,200","826,100",,"2,310,300","785,500","1,608,300","1,407,000","201,300"
2009,"7,239,100","5,019,400","4,199,800","824,600",,"2,297,700","767,400","1,615,500","1,407,400","208,100"
2010,"7,089,000","4,888,500","4,055,900","840,800",,"2,279,100","748,700","1,613,800","1,404,000","209,800"
2011,"6,994,500","4,818,300","3,973,800","855,500",,"2,252,500","735,600","1,599,000","1,382,600","216,400"
2012,"6,949,800","4,790,700","3,944,900","858,400",,"2,231,300","744,500","1,570,400","1,352,600","217,800"
2013,"6,899,700","4,749,800","3,912,900","849,500",,"2,222,500","731,200","1,577,000","1,361,100","215,900"
2014,"6,856,900","4,713,200","3,868,400","857,700",,"2,225,100","744,600","1,562,300","1,351,800","210,600"
2015,"6,740,300","4,650,900","3,789,800","870,500",,"2,172,800","727,400","1,526,600","1,330,100","196,500"
2016,"6,613,500","4,537,100","3,673,100","874,800",,"2,162,400","740,700","1,505,400","1,316,200","189,200"
"Note: Estimates may not be comparable to previously published BJS tables or reports due to updated information. Counts were rounded to the nearest 100 and include estimates for nonresponding jurisdictions. All probation, parole, and prison counts are for December 31; local jail counts are for the last weekday in June. ",,,,,,,,,,
"a/Includes persons living in the community while supervised on probation or parole and incarcerated in state or federal prisons or held in local jails. Includes adjustments made to account for offenders with multiple correctional statuses to prevent double counting of individuals: prisoners held in local jails were excluded from the total incarcerated and total correctional population counts; starting in 1998, probationers who were incarcerated in prisons or local jails were excluded from the total correctional population count;  starting in 2005, parolees who were incarcerated in prisons or local jails were excluded from the total correctional population count; and starting in 2008, parolees who were also on probation were excluded from the total community supervision and total correctional population counts.",,,,,,,,,,
"b/Includes persons living in the community while supervised on probation or parole and some offenders held in a prison or local jail but who remained under the jurisdiction of a probation or parole agency. Starting in 2008, parolees who were also on probation were excluded from the total.",,,,,,,,,,
c/Prisoners held in local jails were excluded from the total to prevent double counting.,,,,,,,,,,
"d/Coverage of probation agencies was expanded. Therefore, the total correctional, total community supervision, and probation population counts may not be comparable to prior years. ",,,,,,,,,,
"Sources: Bureau of Justice Statistics, Annual Probation Survey, Annual Parole, Survey, Annual Survey of Jails, Census of Jail Inmates, and National Prisoner Statistics Program, 1980-2016.",,,,,,,,,,
