Fact,Fact Note,Illinois,Idaho,Hawaii,Georgia,Florida,United States,Value Note for United States
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018",,23.00%,10.80%,26.10%,13.90%,29.10%,21.50%,
"Households with a computer, percent, 2014-2018",,88.30%,90.20%,90.00%,88.60%,89.80%,88.80%,
"Households with a broadband Internet subscription, percent, 2014-2018",,80.60%,79.70%,83.30%,79.00%,80.80%,80.40%,
"High school graduate or higher, percent of persons age 25 years+, 2014-2018",,88.90%,90.60%,91.80%,86.70%,88.00%,87.70%,
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018",,34.10%,26.90%,32.50%,30.70%,29.20%,31.50%,
"With a disability, under age 65 years, percent, 2014-2018",,7.10%,9.30%,6.50%,8.70%,8.60%,8.60%,
"Persons  without health insurance, under age 65 years, percent",,8.60%,12.80%,5.00%,15.50%,16.30%,9.50%,
"In civilian labor force, total, percent of population age 16 years+, 2014-2018",,65.10%,62.10%,61.80%,62.40%,58.30%,62.90%,
"In civilian labor force, female, percent of population age 16 years+, 2014-2018",,60.30%,56.50%,59.50%,58.20%,54.10%,58.20%,
"Total accommodation and food services sales, 2012 ($1,000)",(c),"27,937,381","2,680,225","9,536,706","18,976,611","49,817,925","708,138,598",
"Total health care and social assistance receipts/revenue, 2012 ($1,000)",(c),"83,431,778","7,895,614","8,136,947","51,800,643","124,061,425","2,040,441,203",
"Total manufacturers shipments, 2012 ($1,000)",(c),"281,037,755","20,201,432",D,"155,836,792","96,924,106","5,696,729,632",
"Total merchant wholesaler sales, 2012 ($1,000)",(c),"295,456,992","17,906,012","9,607,982","143,645,290","252,626,608","5,208,023,478",
"Total retail sales, 2012 ($1,000)",(c),"166,634,514","20,444,278","18,901,745","119,801,495","273,867,145","4,219,821,871",
"Total retail sales per capita, 2012",(c),"$12,942 ","$12,812 ","$13,576 ","$12,077 ","$14,177 ","$13,443 ",
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018",,29,20.7,27.4,28.4,27.4,26.6,
"Median household income (in 2018 dollars), 2014-2018",,"$63,575 ","$53,089 ","$78,084 ","$55,679 ","$53,267 ","$60,293 ",
"Per capita income in past 12 months (in 2018 dollars), 2014-2018",,"$34,463 ","$26,772 ","$34,035 ","$29,523 ","$30,197 ","$32,621 ",
"Persons in poverty, percent",,11.50%,11.20%,9.30%,13.30%,12.70%,10.50%,
"Total employer establishments, 2018",,"320,965","49,267","32,952","235,847","566,894","7,912,405",
"Total employment, 2018",,"5,524,630","597,765","551,681","3,975,657","8,669,611","130,881,471",
"Total annual payroll, 2018 ($1,000)",,"313,199,314","25,229,557","25,119,473","204,050,872","404,483,243","7,097,310,272",
"Total employment, percent change, 2017-2018",,0.50%,3.40%,1.40%,2.20%,3.40%,1.80%,
"Total nonemployer establishments, 2018",,"996,670","135,986","112,589","955,621","2,388,050","26,485,532",
"All firms, 2012",,"1,135,017","146,642","118,454","929,864","2,100,187","27,626,360",
"Men-owned firms, 2012",,"609,648","70,438","60,409","480,578","1,084,885","14,844,597",
"Women-owned firms, 2012",,"417,500","45,121","44,453","376,506","807,817","9,878,397",
"Minority-owned firms, 2012",,"311,684","10,592","74,208","371,588","926,112","7,952,386",
"Nonminority-owned firms, 2012",,"795,129","130,973","38,510","538,893","1,121,749","18,987,918",
"Veteran-owned firms, 2012",,"89,110","12,804","11,148","96,787","185,756","2,521,682",
"Nonveteran-owned firms, 2012",,"1,006,885","124,314","101,334","800,585","1,846,686","24,070,685",
"Population per square mile, 2010",,231.1,19,211.8,168.4,350.6,87.4,
"Land area in square miles, 2010",,"55,518.93","82,643.12","6,422.63","57,513.49","53,624.76","3,531,905.43",
FIPS Code,,"""17""","""16""","""15""","""13""","""12""","""1""",
,,,,,,,,
NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.,,,,,,,,
,,,,,,,,
Value Notes,,,,,,,,
None,,,,,,,,
,,,,,,,,
Fact Notes,,,,,,,,
(a),Includes persons reporting only one race,,,,,,,
(b),"Hispanics may be of any race, so also are included in applicable race categories",,,,,,,
(c),Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data,,,,,,,
,,,,,,,,
Value Flags,,,,,,,,
-,"Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.",,,,,,,
D,Suppressed to avoid disclosure of confidential information,,,,,,,
F,Fewer than 25 firms,,,,,,,
FN,Footnote on this item in place of data,,,,,,,
N,Data for this geographic area cannot be displayed because the number of sample cases is too small.,,,,,,,
NA,Not available,,,,,,,
S,Suppressed; does not meet publication standards,,,,,,,
X,Not applicable,,,,,,,
Z,Value greater than zero but less than half unit of measure shown,,,,,,,
