Fact,Fact Note,Louisiana,Kentucky,Kansas,Iowa,Indiana,United States,Value Note for United States
"Median value of owner-occupied housing units, 2014-2018",,"$157,800 ","$135,300 ","$145,400 ","$142,300 ","$135,400 ","$204,900 ",
"Median selected monthly owner costs -with a mortgage, 2014-2018",,"$1,267 ","$1,158 ","$1,349 ","$1,234 ","$1,130 ","$1,558 ",
"Median selected monthly owner costs -without a mortgage, 2014-2018",,$338 ,$370 ,$495 ,$472 ,$401 ,$490 ,
"Median gross rent, 2014-2018",,$850 ,$741 ,$831 ,$766 ,$807 ,"$1,023 ",
"Building permits, 2019",,"15,793","11,811","7,961","11,870","22,309","1,386,048",
"Households, 2014-2018",,"1,736,021","1,728,681","1,124,549","1,256,855","2,553,818","119,730,128",
"Persons per household, 2014-2018",,2.61,2.49,2.52,2.41,2.53,2.63,
"Living in same house 1 year ago, percent of persons age 1 year+, 2014-2018",,87.00%,84.50%,83.60%,84.80%,85.10%,85.50%,
"Language other than English spoken at home, percent of persons age 5 years+, 2014-2018",,8.10%,5.50%,11.70%,8.00%,8.60%,21.50%,
"Households with a computer, percent, 2014-2018",,83.50%,84.30%,88.40%,87.60%,87.20%,88.80%,
"Households with a broadband Internet subscription, percent, 2014-2018",,72.80%,75.50%,79.60%,78.80%,77.60%,80.40%,
"High school graduate or higher, percent of persons age 25 years+, 2014-2018",,84.80%,85.70%,90.70%,92.00%,88.60%,87.70%,
"Bachelor's degree or higher, percent of persons age 25 years+, 2014-2018",,23.70%,23.60%,32.90%,28.20%,25.90%,31.50%,
"With a disability, under age 65 years, percent, 2014-2018",,11.00%,13.10%,9.00%,7.80%,9.80%,8.60%,
"Persons  without health insurance, under age 65 years, percent",,10.50%,7.70%,10.90%,6.00%,10.30%,9.50%,
"In civilian labor force, total, percent of population age 16 years+, 2014-2018",,59.30%,58.90%,65.70%,67.40%,63.80%,62.90%,
"In civilian labor force, female, percent of population age 16 years+, 2014-2018",,55.50%,54.70%,61.20%,63.10%,59.10%,58.20%,
"Total accommodation and food services sales, 2012 ($1,000)",(c),"11,697,949","7,500,115","4,873,411","5,468,687","13,076,602","708,138,598",
"Total health care and social assistance receipts/revenue, 2012 ($1,000)",(c),"27,951,792","26,264,745","18,248,370","18,583,828","42,493,117","2,040,441,203",
"Total manufacturers shipments, 2012 ($1,000)",(c),"271,191,050","129,284,438","86,076,260","116,668,830","242,763,842","5,696,729,632",
"Total merchant wholesaler sales, 2012 ($1,000)",(c),"68,012,838","71,745,899","60,226,324","62,318,301","81,173,422","5,208,023,478",
"Total retail sales, 2012 ($1,000)",(c),"61,396,364","54,869,978","38,276,461","44,905,624","85,857,962","4,219,821,871",
"Total retail sales per capita, 2012",(c),"$13,342 ","$12,526 ","$13,263 ","$14,607 ","$13,133 ","$13,443 ",
"Mean travel time to work (minutes), workers age 16 years+, 2014-2018",,25.5,23.3,19.3,19.1,23.6,26.6,
"Median household income (in 2018 dollars), 2014-2018",,"$47,942 ","$48,392 ","$57,422 ","$58,580 ","$54,325 ","$60,293 ",
"Per capita income in past 12 months (in 2018 dollars), 2014-2018",,"$27,027 ","$26,948 ","$30,757 ","$31,085 ","$28,461 ","$32,621 ",
"Persons in poverty, percent",,19.00%,16.30%,11.40%,11.20%,11.90%,10.50%,
"Total employer establishments, 2018",,"106,359","91,079","74,559","82,894","148,304","7,912,405",
"Total employment, 2018",,"1,691,552","1,642,234","1,203,434","1,364,250","2,816,081","130,881,471",
"Total annual payroll, 2018 ($1,000)",,"78,758,017","71,429,511","55,087,460","61,430,726","128,461,591","7,097,310,272",
"Total employment, percent change, 2017-2018",,0.20%,1.10%,0.40%,0.80%,1.30%,1.80%,
"Total nonemployer establishments, 2018",,"385,074","295,814","202,389","212,333","422,619","26,485,532",
"All firms, 2012",,"414,291","331,546","239,118","259,121","479,059","27,626,360",
"Men-owned firms, 2012",,"215,111","184,154","125,169","135,382","253,533","14,844,597",
"Women-owned firms, 2012",,"151,114","106,011","77,194","82,345","162,798","9,878,397",
"Minority-owned firms, 2012",,"126,100","27,258","26,127","14,707","61,252","7,952,386",
"Nonminority-owned firms, 2012",,"277,676","296,155","204,562","236,561","405,090","18,987,918",
"Veteran-owned firms, 2012",,"42,211","33,208","21,610","25,889","45,174","2,521,682",
"Nonveteran-owned firms, 2012",,"354,460","282,704","203,401","217,779","412,543","24,070,685",
"Population per square mile, 2010",,104.9,109.9,34.9,54.5,181,87.4,
"Land area in square miles, 2010",,"43,203.90","39,486.34","81,758.72","55,857.13","35,826.11","3,531,905.43",
FIPS Code,,"""22""","""21""","""20""","""19""","""18""","""1""",
,,,,,,,,
NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.,,,,,,,,
,,,,,,,,
Value Notes,,,,,,,,
None,,,,,,,,
,,,,,,,,
Fact Notes,,,,,,,,
(a),Includes persons reporting only one race,,,,,,,
(b),"Hispanics may be of any race, so also are included in applicable race categories",,,,,,,
(c),Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data,,,,,,,
,,,,,,,,
Value Flags,,,,,,,,
-,"Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.",,,,,,,
D,Suppressed to avoid disclosure of confidential information,,,,,,,
F,Fewer than 25 firms,,,,,,,
FN,Footnote on this item in place of data,,,,,,,
N,Data for this geographic area cannot be displayed because the number of sample cases is too small.,,,,,,,
NA,Not available,,,,,,,
S,Suppressed; does not meet publication standards,,,,,,,
X,Not applicable,,,,,,,
Z,Value greater than zero but less than half unit of measure shown,,,,,,,
