Fact,Fact Note,Florida,Georgia,Hawaii,Wyoming,Alabama,United States,Value Note for United States
"Women-owned firms, 2012",,"807,817","376,506","44,453","19,344","137,630","9,878,397",
"Minority-owned firms, 2012",,"926,112","371,588","74,208","4,077","92,219","7,952,386",
"Nonminority-owned firms, 2012",,"1,121,749","538,893","38,510","55,397","272,651","18,987,918",
"Veteran-owned firms, 2012",,"185,756","96,787","11,148","6,470","41,943","2,521,682",
"Nonveteran-owned firms, 2012",,"1,846,686","800,585","101,334","51,353","316,984","24,070,685",
"Population per square mile, 2010",,350.6,168.4,211.8,5.8,94.4,87.4,
"Land area in square miles, 2010",,"53,624.76","57,513.49","6,422.63","97,093.14","50,645.33","3,531,905.43",
FIPS Code,,"""12""","""13""","""15""","""56""","""01""","""1""",
,,,,,,,,
NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.,,,,,,,,
,,,,,,,,
Value Notes,,,,,,,,
None,,,,,,,,
,,,,,,,,
Fact Notes,,,,,,,,
(a),Includes persons reporting only one race,,,,,,,
(b),"Hispanics may be of any race, so also are included in applicable race categories",,,,,,,
(c),Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data,,,,,,,
,,,,,,,,
Value Flags,,,,,,,,
-,"Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.",,,,,,,
D,Suppressed to avoid disclosure of confidential information,,,,,,,
F,Fewer than 25 firms,,,,,,,
FN,Footnote on this item in place of data,,,,,,,
N,Data for this geographic area cannot be displayed because the number of sample cases is too small.,,,,,,,
NA,Not available,,,,,,,
S,Suppressed; does not meet publication standards,,,,,,,
X,Not applicable,,,,,,,
Z,Value greater than zero but less than half unit of measure shown,,,,,,,
